round,full_mean,full_std,simplified_mean,simplified_std,gap_mean
264,0.39810606060606063,0.04340221533152558,0.02196969696969697,0.02655840627720925,0.37613636363636366
265,0.39773584905660375,0.04273324578684399,0.02188679245283019,0.026458185876163172,0.37584905660377355
266,0.39699248120300745,0.04247288493984541,0.021804511278195486,0.02635871901196707,0.37518796992481196
267,0.3962546816479401,0.04256501167093745,0.021722846441947562,0.026259997217914763,0.37453183520599254
268,0.3955223880597015,0.04273976436798912,0.021641791044776117,0.026162012153668812,0.37388059701492543
269,0.39516728624535313,0.041994273689134824,0.021561338289962824,0.02606475560291168,0.3736059479553903
270,0.39444444444444443,0.04151618918367514,0.021481481481481483,0.02596821947104904,0.37296296296296294
271,0.3952029520295203,0.041005924188441636,0.02140221402214022,0.025872395782963988,0.3738007380073801
272,0.39558823529411763,0.04084689533038574,0.021323529411764706,0.02577727668082074,0.37426470588235294
273,0.395970695970696,0.03973810329950497,0.02161172161172161,0.025768911849027926,0.3743589743589744
274,0.395985401459854,0.03961997805110976,0.021532846715328468,0.025674864725491322,0.37445255474452555
275,0.39636363636363636,0.039333286641425325,0.021454545454545455,0.02558150158103499,0.3749090909090909
276,0.39637681159420285,0.038657909183620706,0.021739130434782605,0.02582395605971806,0.37463768115942025
277,0.396028880866426,0.03837767567784512,0.02166064981949458,0.02573072878152413,0.37436823104693145
278,0.39604316546762586,0.03825315904343644,0.021582733812949638,0.025638172203173323,0.37446043165467624
279,0.3956989247311828,0.03874285051432733,0.021505376344086023,0.02554627911283937,0.3741935483870968
280,0.3957142857142857,0.03895313772695994,0.02142857142857143,0.02545504240172209,0.3742857142857143
281,0.396085409252669,0.0390827701773428,0.021352313167259784,0.025364455062214183,0.3747330960854092
282,0.3971631205673759,0.03910368440309283,0.021631205673758862,0.02539611243942394,0.37553191489361704
283,0.3975265017667845,0.039797775722587594,0.0215547703180212,0.02530637352621043,0.3759717314487633
284,0.39753521126760566,0.039381563681806765,0.02147887323943662,0.025217266577174473,0.37605633802816907
