round,full_mean,full_std,simplified_mean,simplified_std,gap_mean
265,0.3992452830188679,0.04718641217310367,0.023773584905660377,0.02903699411805379,0.3754716981132075
266,0.3988721804511278,0.046696814223136075,0.023684210526315787,0.028927832486031032,0.375187969924812
267,0.398501872659176,0.04596834754326969,0.02359550561797753,0.028819488544135782,0.3749063670411985
268,0.3977611940298508,0.04555296257322942,0.023507462686567164,0.028711953139120353,0.3742537313432836
269,0.39739776951672867,0.044870673850396656,0.023420074349442377,0.02860521725384481,0.3739776951672863
270,0.39740740740740743,0.04460003629271377,0.023333333333333334,0.028499272004756496,0.3740740740740741
271,0.3974169741697417,0.04400436692525563,0.023247232472324724,0.02839410863942529,0.37416974169741696
272,0.3981617647058824,0.04436359142297473,0.023161764705882354,0.028289718534133285,0.375
273,0.3981684981684982,0.0434355631986557,0.023443223443223447,0.028524428328105186,0.3747252747252747
274,0.3978102189781022,0.044098707932826914,0.02335766423357664,0.028420324575082895,0.37445255474452555
275,0.3981818181818182,0.04409606342880683,0.02327272727272727,0.02831697794026441,0.3749090909090909
276,0.3989130434782609,0.04355217147757018,0.02355072463768116,0.0286323595654063,0.37536231884057975
277,0.39855595667870036,0.0430860036038576,0.023465703971119134,0.028528993646397615,0.37509025270758123
278,0.39928057553956836,0.0434046133208586,0.023381294964028777,0.028426371367094028,0.37589928057553956
279,0.3985663082437275,0.04380391718265861,0.023297491039426525,0.028324484731369677,0.375268817204301
280,0.3985714285714286,0.043600692748662434,0.023214285714285715,0.02822332585732907,0.37535714285714283
281,0.39857651245551595,0.04338135219265703,0.023131672597864767,0.028122886975274517,0.3754448398576512
282,0.399290780141844,0.042143417068781795,0.02304964539007092,0.028023160425716807,0.37624113475177307
283,0.3992932862190813,0.04111713981000384,0.023674911660777384,0.028314891346382515,0.3756183745583039
284,0.39999999999999997,0.040245724118956466,0.02394366197183099,0.028291985107888263,0.37605633802816896
285,0.4003508771929824,0.039149153271919944,0.023859649122807018,0.02819271498470269,0.3764912280701754
286,0.40069930069930065,0.03881591352832984,0.023776223776223775,0.028094139058182747,0.37692307692307686
287,0.4010452961672474,0.038719879634382164,0.023693379790940765,0.027996250071917306,0.3773519163763066
288,0.4017361111111112,0.03803787352798345,0.02361111111111111,0.0278990408702787,0.37812500000000004
289,0.4024221453287198,0.038000894186274496,0.023529411764705882,0.027802504396679122,0.3788927335640139
290,0.4027586206896552,0.038143604990413325,0.02344827586206897,0.027706633691862992,0.3793103448275862
291,0.40309278350515465,0.03897125396172329,0.02336769759450172,0.027611421892234592,0.3797250859106529
292,0.40342465753424667,0.03984394403355886,0.02328767123287671,0.027516862228220088,0.38013698630136994
293,0.4030716723549488,0.040048253344601194,0.023208191126279865,0.027422948022663027,0.3798634812286689
294,0.4023809523809524,0.04027561347133506,0.023129251700680274,0.027329672689252606,0.37925170068027214
295,0.40271186440677964,0.04016055110405392,0.023050847457627123,0.027237029730983957,0.3796610169491525
296,0.4030405405405405,0.04025944213211228,0.02297297297297297,0.02714501273864955,0.38006756756756754
297,0.40370370370370373,0.03936515106840932,0.022895622895622896,0.027053615389361164,0.3808080808080808
