gate_id,family,stage,metric,direction,estimate,standard_error,bound,margin,cluster_count,passed,denominator
ab/c8/fault/telegraph/terminal_level_probability_l1,fault_trajectory_tail,trajectory,terminal_level_probability_l1,upper,0.015625039773013147,0.03833576419227016,0.0786817605466251,0.1,256,True,ab/c8/fault/telegraph: paired seed_position
ab/c8/fault/telegraph/terminal_predictive_mean_l2,fault_trajectory_tail,trajectory,terminal_predictive_mean_l2,upper,0.005215769025889886,0.017704087939600127,0.03433640228520897,0.12,256,True,ab/c8/fault/telegraph: paired seed_position
ab/c8/fault/telegraph/terminal_predictive_covariance_frobenius,fault_trajectory_tail,trajectory,terminal_predictive_covariance_frobenius,upper,0.00013226700115665774,0.00027133558987455674,0.0005785743302828396,0.18,256,True,ab/c8/fault/telegraph: paired seed_position
ab/c8/fault/telegraph/terminal_paired_proper_score_per_sample,fault_trajectory_tail,trajectory,terminal_paired_proper_score_per_sample,upper,0.00018439389190533836,0.00806239243874876,0.013445849336687361,0.0375,256,True,ab/c8/fault/telegraph: paired seed_position
ab/c8/fault/telegraph/terminal_leakage_residence_rate,fault_trajectory_tail,trajectory,terminal_leakage_residence_rate,upper,0.00390625,0.0039062499999999996,0.010331459480279187,0.1,256,True,ab/c8/fault/telegraph: paired seed_position
ab/c8/fault/telegraph/terminal_drift_normalized_l2,fault_trajectory_tail,trajectory,terminal_drift_normalized_l2,upper,0.003888030900334259,0.0032471472556922965,0.009229112841105253,0.15,256,True,ab/c8/fault/telegraph: paired seed_position
ab/c8/fault/telegraph/terminal_logical_survival,fault_trajectory_tail,trajectory,terminal_logical_survival,upper,0.0006853162698113957,0.0020368201342844754,0.004035587255136999,0.1,256,True,ab/c8/fault/telegraph: paired seed_position
ab/c8/fault/burst/terminal_density_trace_distance,fault_trajectory_tail,trajectory,terminal_density_trace_distance,upper,0.0133020722971005,0.05884696741976183,0.11009672009259086,0.15,256,True,ab/c8/fault/burst: paired seed_position
ab/c8/fault/burst/terminal_mean_photon_difference,fault_trajectory_tail,trajectory,terminal_mean_photon_difference,upper,0.009022920441649734,0.037119848661782986,0.07007963814487322,0.08,256,True,ab/c8/fault/burst: paired seed_position
ab/c8/fault/burst/terminal_level_probability_l1,fault_trajectory_tail,trajectory,terminal_level_probability_l1,upper,0.015625039762038374,0.038335764192287215,0.07868176053567837,0.1,256,True,ab/c8/fault/burst: paired seed_position
ab/c8/fault/burst/terminal_predictive_mean_l2,fault_trajectory_tail,trajectory,terminal_predictive_mean_l2,upper,0.005220616030397798,0.017716775453265166,0.034362118392585815,0.12,256,True,ab/c8/fault/burst: paired seed_position
ab/c8/fault/burst/terminal_predictive_covariance_frobenius,fault_trajectory_tail,trajectory,terminal_predictive_covariance_frobenius,upper,0.0001415639765225123,0.0002773709494417333,0.0005977985887227207,0.18,256,True,ab/c8/fault/burst: paired seed_position
ab/c8/fault/burst/terminal_paired_proper_score_per_sample,fault_trajectory_tail,trajectory,terminal_paired_proper_score_per_sample,upper,0.017409878706995438,0.01107097823311984,0.03562001740764341,0.0375,256,True,ab/c8/fault/burst: paired seed_position
ab/c8/fault/burst/terminal_leakage_residence_rate,fault_trajectory_tail,trajectory,terminal_leakage_residence_rate,upper,0.00390625,0.0039062499999999996,0.010331459480279187,0.1,256,True,ab/c8/fault/burst: paired seed_position
ab/c8/fault/burst/terminal_drift_normalized_l2,fault_trajectory_tail,trajectory,terminal_drift_normalized_l2,upper,0.0038880309003342653,0.0032471472556922947,0.009229112841105256,0.15,256,True,ab/c8/fault/burst: paired seed_position
ab/c8/fault/burst/terminal_logical_survival,fault_trajectory_tail,trajectory,terminal_logical_survival,upper,0.0008698595196989433,0.0025001332314771594,0.004982212733356054,0.1,256,True,ab/c8/fault/burst: paired seed_position
ab/c8/fault/compound/terminal_density_trace_distance,fault_trajectory_tail,trajectory,terminal_density_trace_distance,upper,0.007654567481825646,0.033984975865561436,0.06355487829615263,0.15,256,True,ab/c8/fault/compound: paired seed_position
ab/c8/fault/compound/terminal_mean_photon_difference,fault_trajectory_tail,trajectory,terminal_mean_photon_difference,upper,0.0030796100893574693,0.027530466750521884,0.0483631981756203,0.08,256,True,ab/c8/fault/compound: paired seed_position
ab/c8/fault/compound/terminal_level_probability_l1,fault_trajectory_tail,trajectory,terminal_level_probability_l1,upper,0.007812539783531353,0.007812499844087286,0.020662958487636135,0.1,256,True,ab/c8/fault/compound: paired seed_position
ab/c8/fault/compound/terminal_predictive_mean_l2,fault_trajectory_tail,trajectory,terminal_predictive_mean_l2,upper,0.00038132478201851033,0.0005589715394704353,0.0013007511460791038,0.12,256,True,ab/c8/fault/compound: paired seed_position
ab/c8/fault/compound/terminal_predictive_covariance_frobenius,fault_trajectory_tail,trajectory,terminal_predictive_covariance_frobenius,upper,8.569121473382292e-05,0.00024547866564888056,0.0004894676882655919,0.18,256,True,ab/c8/fault/compound: paired seed_position
ab/c8/fault/compound/terminal_paired_proper_score_per_sample,fault_trajectory_tail,trajectory,terminal_paired_proper_score_per_sample,upper,0.00023539678605298845,0.0010329786365640644,0.0019344954429687765,0.0375,256,True,ab/c8/fault/compound: paired seed_position
ab/c8/fault/compound/terminal_leakage_residence_rate,fault_trajectory_tail,trajectory,terminal_leakage_residence_rate,upper,0.0,0.0,0.0,0.1,256,True,ab/c8/fault/compound: paired seed_position
ab/c8/fault/compound/terminal_drift_normalized_l2,fault_trajectory_tail,trajectory,terminal_drift_normalized_l2,upper,0.0038880309003342223,0.0032471472556922986,0.00922911284110522,0.15,256,True,ab/c8/fault/compound: paired seed_position
ab/c8/fault/compound/terminal_logical_survival,fault_trajectory_tail,trajectory,terminal_logical_survival,upper,0.0010065131365667923,0.0029894993489552072,0.00592380198346483,0.1,256,True,ab/c8/fault/compound: paired seed_position
mapping/c8/principal_singular,cutoff_mapping,round,principal_singular,lower,0.9999999999999997,0.0,0.9999999999999997,0.95,0,True,mapping cutoff 8
mapping/c8/projector_frobenius,cutoff_mapping,round,projector_frobenius,upper,6.255335668717663e-16,0.0,6.255335668717663e-16,0.3,0,True,mapping cutoff 8
ab/c12/shared/vacuum_g/IDLE/density_trace_distance,physical_state_channel,round,density_trace_distance,upper,0.001302441092572684,0.009572476869204743,0.017047764389793177,0.1,768,True,ab/c12/shared/vacuum_g/IDLE: paired seed_position
ab/c12/shared/vacuum_g/IDLE/mean_photon_difference,physical_state_channel,round,mean_photon_difference,upper,0.0,0.0,0.0,0.08,768,True,ab/c12/shared/vacuum_g/IDLE: paired seed_position
ab/c12/shared/vacuum_g/IDLE/level_probability_l1,physical_state_channel,round,level_probability_l1,upper,0.0026041668119809553,0.0045125088081283534,0.010026583291681343,0.1,768,True,ab/c12/shared/vacuum_g/IDLE: paired seed_position
ab/c12/shared/vacuum_g/IDLE/predictive_mean_l2,iq_conditional_distribution,round,predictive_mean_l2,upper,5.779494074539663e-07,2.9322972866162594e-21,5.779494074539712e-07,0.12,768,True,ab/c12/shared/vacuum_g/IDLE: paired seed_position
ab/c12/shared/vacuum_g/IDLE/predictive_covariance_frobenius,iq_conditional_distribution,round,predictive_covariance_frobenius,upper,9.791266840955742e-07,5.864594573232519e-21,9.79126684095584e-07,0.18,768,True,ab/c12/shared/vacuum_g/IDLE: paired seed_position
ab/c12/shared/vacuum_g/IDLE/predictive_cdf_i_sup,iq_conditional_distribution,round,predictive_cdf_i_sup,upper,3.404404781415238e-07,0.0,3.404404781415238e-07,0.24,768,True,ab/c12/shared/vacuum_g/IDLE: paired seed_position
ab/c12/shared/vacuum_g/IDLE/predictive_cdf_q_sup,iq_conditional_distribution,round,predictive_cdf_q_sup,upper,1.248183778557177e-09,0.0,1.248183778557177e-09,0.24,768,True,ab/c12/shared/vacuum_g/IDLE: paired seed_position
ab/c12/shared/vacuum_g/IDLE/paired_proper_score_per_sample,likelihood_score_posterior,round,paired_proper_score_per_sample,upper,1.4188848937787447e-05,7.042220114002744e-07,1.534719106741825e-05,0.0375,768,True,ab/c12/shared/vacuum_g/IDLE: paired seed_position
ab/c12/shared/vacuum_g/IDLE/pairwise_llr_per_sample,likelihood_score_posterior,round,pairwise_llr_per_sample,upper,0.0,0.0,0.0,0.0375,768,True,ab/c12/shared/vacuum_g/IDLE: paired seed_position
ab/c12/shared/vacuum_g/IDLE/posterior_mean_l1,likelihood_score_posterior,round,posterior_mean_l1,upper,1.9699279383430679e-10,1.2671584325705652e-10,4.054218082078905e-10,0.12,768,True,ab/c12/shared/vacuum_g/IDLE: paired seed_position
ab/c12/shared/vacuum_g/X/density_trace_distance,physical_state_channel,round,density_trace_distance,upper,0.0013024428963369682,0.009551762522417118,0.017013694125113908,0.1,768,True,ab/c12/shared/vacuum_g/X: paired seed_position
ab/c12/shared/vacuum_g/X/mean_photon_difference,physical_state_channel,round,mean_photon_difference,upper,5.7867479839411875e-06,1.0025180261429762e-05,2.227670209779624e-05,0.08,768,True,ab/c12/shared/vacuum_g/X: paired seed_position
ab/c12/shared/vacuum_g/X/level_probability_l1,physical_state_channel,round,level_probability_l1,upper,0.0026041668119954125,0.004512508808128342,0.01002658329169578,0.1,768,True,ab/c12/shared/vacuum_g/X: paired seed_position
ab/c12/shared/vacuum_g/X/predictive_mean_l2,iq_conditional_distribution,round,predictive_mean_l2,upper,5.779451400965062e-07,2.9322972866162594e-21,5.779451400965111e-07,0.12,768,True,ab/c12/shared/vacuum_g/X: paired seed_position
ab/c12/shared/vacuum_g/X/predictive_covariance_frobenius,iq_conditional_distribution,round,predictive_covariance_frobenius,upper,9.79101837867341e-07,0.0,9.79101837867341e-07,0.18,768,True,ab/c12/shared/vacuum_g/X: paired seed_position
ab/c12/shared/vacuum_g/X/predictive_cdf_i_sup,iq_conditional_distribution,round,predictive_cdf_i_sup,upper,3.404429670395004e-07,0.0,3.404429670395004e-07,0.24,768,True,ab/c12/shared/vacuum_g/X: paired seed_position
ab/c12/shared/vacuum_g/X/predictive_cdf_q_sup,iq_conditional_distribution,round,predictive_cdf_q_sup,upper,1.260272441960808e-09,0.0,1.260272441960808e-09,0.24,768,True,ab/c12/shared/vacuum_g/X: paired seed_position
