analog_allocated_bytes_first_measured_decode,analog_errors,analog_ler,analog_runtime_seconds,analog_seconds_per_decode,certified_integer_box_bound,ci,cpd_allocated_bytes_first_measured_decode,cpd_errors,cpd_ler,cpd_runtime_seconds,cpd_seconds_per_decode,crossing_sigma,dimension,distance,distance_gap,errors,evidence,fidelity,ler,lower_distance,may_be_replaced_by_three_size_fit,median_allocated_bytes_per_measured_decode,median_seconds_per_decode,method,mismatch,official,official_distance,offset,oracle_distance,p95_seconds_per_decode,pair,paired_error_difference,quantity,record_type,sample,samples,seed,seed_clusters,seed_ler_standard_error,sigma,trials,value,value_state
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.6982311263140004,,0.6982311263140004,,,,,exact_cvp,45,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.27643334101737027,,0.27643334101737027,,,,,exact_cvp,46,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.17183290094187764,,0.17183290094187764,,,,,exact_cvp,47,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.9726451995689251,,0.9726451995689251,,,,,exact_cvp,48,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.1299818135833232,,0.1299818135833232,,,,,exact_cvp,49,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.35306214172927675,,0.35306214172927675,,,,,exact_cvp,50,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.01736385202071846,,0.01736385202071846,,,,,exact_cvp,51,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.390028431910042,,0.390028431910042,,,,,exact_cvp,52,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,1.4427381264632522,,1.4427381264632522,,,,,exact_cvp,53,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,1.1092541893850725,,1.1092541893850725,,,,,exact_cvp,54,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,3,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.14465127665763267,,0.14465127665763267,,,,,exact_cvp,55,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.44156399671150925,,0.44156399671150925,,,,,exact_cvp,56,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.004725771687266919,,0.004725771687266919,,,,,exact_cvp,57,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.4336671760376692,,0.4336671760376692,,,,,exact_cvp,58,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.6550431073616202,,0.6550431073616202,,,,,exact_cvp,59,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.22291472092783968,,0.22291472092783968,,,,,exact_cvp,60,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.8846382445027996,,0.8846382445027996,,,,,exact_cvp,61,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,1.1655897146502365,,1.1655897146502365,,,,,exact_cvp,62,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.5637771587053457,,0.5637771587053457,,,,,exact_cvp,63,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.0648049286487209,,0.0648049286487209,,,,,exact_cvp,64,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.38840857162864406,,0.38840857162864406,,,,,exact_cvp,65,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.8555096731110339,,0.8555096731110339,,,,,exact_cvp,66,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,1.4518199883648932,,1.4518199883648932,,,,,exact_cvp,67,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,1.1370821381432779,,1.1370821381432779,,,,,exact_cvp,68,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.425940519225761,,0.425940519225761,,,,,exact_cvp,69,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.1802750844034529,,0.1802750844034529,,,,,exact_cvp,70,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,5,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.10769563766641488,,0.10769563766641488,,,,,exact_cvp,71,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.013230021961606386,,0.013230021961606386,,,,,exact_cvp,72,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.03297333791686552,,0.03297333791686552,,,,,exact_cvp,73,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.4470342638656106,,0.4470342638656106,,,,,exact_cvp,74,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.8256145522595557,,0.8256145522595557,,,,,exact_cvp,75,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.16768647000794693,,0.16768647000794693,,,,,exact_cvp,76,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.2739241574384026,,0.2739241574384026,,,,,exact_cvp,77,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,1.1543984117181751,,1.1543984117181751,,,,,exact_cvp,78,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.41477005626476116,,0.41477005626476116,,,,,exact_cvp,79,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,1.187498872720447,,1.187498872720447,,,,,exact_cvp,80,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.2493732908092276,,0.2493732908092276,,,,,exact_cvp,81,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.06257140985767795,,0.06257140985767795,,,,,exact_cvp,82,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.2321103373241939,,0.2321103373241939,,,,,exact_cvp,83,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.04240693127091,,0.04240693127091,,,,,exact_cvp,84,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.8248009869638957,,0.8248009869638957,,,,,exact_cvp,85,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.07644517909006554,,0.07644517909006554,,,,,exact_cvp,86,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.2247945739311109,,0.2247945739311109,,,,,exact_cvp,87,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.5008404879777674,,0.5008404879777674,,,,,exact_cvp,88,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,1.1575334225451257,,1.1575334225451257,,,,,exact_cvp,89,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,1.3271378191672332,,1.3271378191672332,,,,,exact_cvp,90,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.9924446821195689,,0.9924446821195689,,,,,exact_cvp,91,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.26053413291084027,,0.26053413291084027,,,,,exact_cvp,92,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.6303950892097108,,0.6303950892097108,,,,,exact_cvp,93,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.8271257039833689,,0.8271257039833689,,,,,exact_cvp,94,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.4523369371055652,,0.4523369371055652,,,,,exact_cvp,95,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.4180855382789396,,0.4180855382789396,,,,,exact_cvp,96,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,2,,0.0,,,,,,,,,official_cpd,False,,0.9704819586973771,,0.9704819586973771,,,,,exact_cvp,1,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,2,,6.38378239159465e-16,,,,,,,,,official_cpd,False,,0.2472661116821363,,0.24726611168213566,,,,,exact_cvp,2,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,3,,,,,,,,2,,4.440892098500626e-16,,,,,,,,,official_cpd,False,,0.549879098620402,,0.5498790986204024,,,,,exact_cvp,3,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,2,,0.0,,,,,,,,,official_cpd,False,,1.12333378925903,,1.12333378925903,,,,,exact_cvp,4,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,2,,0.0,,,,,,,,,official_cpd,False,,0.8102295913440856,,0.8102295913440856,,,,,exact_cvp,5,,,,,,,,OFFICIAL_CODE_REPRODUCTION
