point_id,device,cutoff,batch_size,full_cycles,half_cycles,status,feasible,preferred,runtime_median_seconds,runtime_p90_seconds,cuda_peak_allocated_bytes,cuda_peak_reserved_bytes,peak_rss_bytes,rss_delta_bytes,observed_memory_fraction,mean_reward,mean_ground_outcome_fraction,minimum_trajectory_probability,minimum_gradient_norm,maximum_gradient_norm,maximum_trace_error,maximum_hermiticity_error,minimum_final_eigenvalue,policy_parameter_count,real_dtype,warmup_steps,repeats,grid_points,score_baseline,seed,runtime_repeat_1_seconds,runtime_repeat_2_seconds,runtime_repeat_3_seconds
cuda-c16-b256-h2-float64,cuda,16,256,2,4,pass,True,True,0.8995761000114726,0.9030586599983508,750098432,834666496,1627750400,1063927808,0.08737094465648855,0.5461489902392666,0.8489583333333334,0.0021986470632588233,0.5458678996529237,0.5857728645314777,4.440892098500626e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.9039292999950703,0.8994974000088405,0.8995761000114726
cuda-c16-b256-h10-float64,cuda,16,256,10,20,pass,True,False,4.533687299990561,4.544603940006345,3172603904,3252682752,1653723136,1089536000,0.3695427003816794,0.36217934702085547,0.7635416666666668,8.378607946774034e-09,0.8796733571691098,0.9807382477737556,6.661338147750939e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,4.547333100010292,4.529982899999595,4.533687299990561
cuda-c16-b512-h2-float64,cuda,16,512,2,4,pass,True,True,1.7191974000015762,1.7199670799949671,1461506048,1616904192,1639632896,1075453952,0.17023520992366412,0.5398654493666996,0.8444010416666666,0.002180298942228541,0.539866327039223,0.6085751528656124,2.220446049250313e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,1.720159499993315,1.7122616999986349,1.7191974000015762
cuda-c16-b512-h10-float64,cuda,16,512,10,20,pass,True,False,8.623588500006008,8.623602579996804,6233100288,6373244928,1665175552,1101910016,0.7260271946564886,0.3411176295286671,0.7578450520833333,5.59089207722086e-09,0.9271517735842209,1.0163159182558068,5.551115123125783e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,8.623588500006008,8.623606099994504,8.616758599993773
cuda-c16-b576-h10-float64,cuda,16,576,10,20,memory_exceeded,False,False,9.514473799994448,9.54354971999419,7015394816,7086276608,1665159168,1101168640,0.8171483182251909,0.3531820679666904,0.7599247685185185,6.273981385591824e-09,0.9454316669092131,0.96993283384178,4.440892098500626e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,9.550818699994124,9.514473799994448,9.500778400004492
cuda-c18-b4-h6-float64,cuda,18,4,6,12,pass,True,True,0.6596648999984609,0.6654957799968543,136180224,138412032,1683329024,1119248384,0.015862177958015266,0.5581893922317834,0.8194444444444443,8.985079677272655e-05,0.8219583328441027,1.5600843269459974,4.440892098500626e-16,0.0,-3.682806147729089e-17,72913,float64,1,3,2049,0.35,314159,0.6669534999964526,0.6533229000051506,0.6596648999984609
cuda-c18-b4-h10-float64,cuda,18,4,10,20,pass,True,True,1.1295269999973243,1.1320126800070285,210785280,211812352,1702109184,1138036736,0.024552123091603054,0.5222768221843239,0.8208333333333334,1.5299693120636218e-07,1.4828948823961803,2.0620634646005076,4.440892098500626e-16,0.0,-4.2204089647444476e-17,72913,float64,1,3,2049,0.35,314159,1.1326341000094544,1.093368100002408,1.1295269999973243
cuda-c18-b8-h2-float64,cuda,18,8,2,4,pass,True,True,0.2391704000037862,0.2397194400051376,76265984,96468992,1653825536,1089232896,0.008883408874045802,0.6567083699493393,0.875,0.005420916445638743,0.5458147461399139,0.7080504049751781,2.220446049250313e-16,0.0,-5.690738986543839e-17,72913,float64,1,3,2049,0.35,314159,0.23985670000547543,0.2391704000037862,0.23796959999890532
cuda-c24-b4-h6-float64,cuda,24,4,6,12,pass,True,True,0.6865486000024248,0.6904785200080369,265576960,287309824,1681387520,1117523968,0.03093421994274809,0.5713822907681094,0.8194444444444443,0.00012286352001788373,0.9777916774575387,2.0880344884912914,2.220446049250313e-16,0.0,-9.185911425075607e-17,72913,float64,1,3,2049,0.35,314159,0.6633412999944994,0.6914610000094399,0.6865486000024248
cuda-c24-b4-h10-float64,cuda,24,4,10,20,pass,True,True,1.155719999995199,1.1676940800069133,422233088,446693376,1695780864,1131134976,0.04918141698473282,0.5778292323258495,0.8416666666666668,1.104075451088633e-06,1.7350047739083663,1.9631476523093951,4.440892098500626e-16,0.0,-9.360048805836304e-17,72913,float64,1,3,2049,0.35,314159,1.155719999995199,1.1706876000098418,1.1493671999924118
