scenario,cycle,input_valid,input_word_hex,actual_commit_ack,expected_commit_ack,actual_active_version,expected_active_version,actual_map_valid,expected_map_valid,actual_map_address,expected_map_address,actual_map_llr_twos,expected_map_llr_twos,actual_output_word_hex,expected_output_word_hex,actual_state_word_hex,expected_state_word_hex,exact
fault_and_commit,32,True,3c2370000080133,False,False,0,0,True,True,241,241,7099,7099,07a6805aa0000000000fc000000011,07a6805aa0000000000fc000000011,090800000000000000000000000000000000000070000000000003f000,090800000000000000000000000000000000000070000000000003f000,True
fault_and_commit,33,True,24f3b000088417c,False,False,0,0,True,True,3,3,2755,2755,24fd401bbb000000000fc000000011,24fd401bbb000000000fc000000011,411700000000000000000000000000000000000074000000000003f000,411700000000000000000000000000000000000074000000000003f000,True
fault_and_commit,34,True,36f8300010801c5,False,False,0,0,True,True,22,22,10926,10926,3487800ac3000000000fc000000011,3487800ac3000000000fc000000011,993600000000000000000000000000000000000078000000000003f000,993600000000000000000000000000000000000078000000000003f000,True
fault_and_commit,35,True,213c3000188420e,False,False,0,0,True,True,40,40,28711,28711,0370802aae000000000fc000000011,0370802aae000000000fc000000011,d1290000000000000000000000000000000000007c000000000003f000,d1290000000000000000000000000000000000007c000000000003f000,True
fault_and_commit,36,True,a61b0002080257,False,False,0,0,True,True,58,58,28951,28951,125f407027000000000fc000000011,125f407027000000000fc000000011,0a5200000000000000000000000000000000000080000000000003f000,0a5200000000000000000000000000000000000080000000000003f000,True
fault_and_commit,37,True,2f0af00028842a0,False,False,0,0,True,True,76,76,54667,54667,2ffa407117000000000fc000000011,2ffa407117000000000fc000000011,424d00000000000000000000000000000000000084000000000003f000,424d00000000000000000000000000000000000084000000000003f000,True
fault_and_commit,38,True,196e700030802e9,False,False,0,0,True,True,95,95,46974,46974,18c2c0d58b000000000fc000000011,18c2c0d58b000000000fc000000011,9a6c00000000000000000000000000000000000088000000000003f000,9a6c00000000000000000000000000000000000088000000000003f000,True
fault_and_commit,39,True,192bb0003884332,False,False,0,0,True,True,113,113,80596,80596,01b840b77e000000000fc000000011,01b840b77e000000000fc000000011,d2730000000000000000000000000000000000008c000000000003f000,d2730000000000000000000000000000000000008c000000000003f000,True
fault_and_commit,40,True,3e73000408037b,False,False,0,0,True,True,131,131,59986,59986,0056413ad4000000000fc000000011,0056413ad4000000000fc000000011,3a0f00000000000000000000000000000000000090000000000003f000,3a0f00000000000000000000000000000000000090000000000003f000,True
fault_and_commit,41,True,3f58f00048843c4,False,False,0,0,True,True,149,149,75465,75465,236940ea52000000000fc000000011,236940ea52000000000fc000000011,721000000000000000000000000000000000000094000000000003f000,721000000000000000000000000000000000000094000000000003f000,True
fault_and_commit,42,True,780f000508000d,False,False,0,0,True,True,168,168,43395,43395,119d4126c9000000000fc000000011,119d4126c9000000000fc000000011,aa3100000000000000000000000000000000000098000000000003f000,aa3100000000000000000000000000000000000098000000000003f000,True
fault_and_commit,43,True,185970005884056,False,False,0,0,True,True,186,186,49511,49511,21e780a983000000000fc000000011,21e780a983000000000fc000000011,e22e0000000000000000000000000000000000009c000000000003f000,e22e0000000000000000000000000000000000009c000000000003f000,True
fault_and_commit,44,True,adf000608009f,False,False,0,0,True,True,204,204,25370,25370,1e7b00c167000000000fc000000011,1e7b00c167000000000fc000000011,6ae8000000000000000000000000000000000000a0000000000003f000,6ae8000000000000000000000000000000000000a0000000000003f000,True
fault_and_commit,45,True,10ceb00068840e8,False,False,0,0,True,True,222,222,23556,23556,262a40631a000000000fc000000011,262a40631a000000000fc000000011,22f7000000000000000000000000000000000000a4000000000003f000,22f7000000000000000000000000000000000000a4000000000003f000,True
fault_and_commit,46,True,3f9770007080131,False,False,0,0,True,True,241,241,7345,7345,3558005c04000000000fc000000011,3558005c04000000000fc000000011,fad6000000000000000000000000000000000000a8000000000003f000,fad6000000000000000000000000000000000000a8000000000003f000,True
