figure,panel,record_id,metric,method,family,value_json,lower_json,upper_json,unit,status,evidence_layer,source_ids_json,source_hashes_json,selector,claim_ids_json,metadata_json
Figure 3,c,f3c_step_calibration_shift_ewma_adaptive_map,global_worst_window_error_count,ewma_adaptive_map,step_calibration_shift,181,null,null,errors / 512,SAFETY_NONINFERIORITY_NOT_IMPROVEMENT,PROJECT_NATIVE_SIMULATION,"[""tail_report"",""tail_source"",""tail_code""]","{""tail_code"":""75580117b5085af3c55983bf6946d545410b742a94288d043b286885342d6e51"",""tail_report"":""2ae43652593d66198f6f7114b3b2945da23c6596aa0c7adbfa10be78805d4957"",""tail_source"":""0ebbf3eeca5bb6fedf3f714602ac2fbfea60e5c8c59d6230a5526df21b30eee1""}","analysis.family_method_summaries[step_calibration_shift,ewma_adaptive_map]","[""TAIL_SAFETY_AND_IMPROVEMENT""]","{""average_ler"":0.012268348976417825,""global_worst_window_ler"":0.353515625,""p95_window_ler"":0.06494140625}"
Figure 3,c,f3c_step_calibration_shift_proposed_route_a,global_worst_window_error_count,proposed_route_a,step_calibration_shift,181,null,null,errors / 512,SAFETY_NONINFERIORITY_NOT_IMPROVEMENT,PROJECT_NATIVE_SIMULATION,"[""tail_report"",""tail_source"",""tail_code""]","{""tail_code"":""75580117b5085af3c55983bf6946d545410b742a94288d043b286885342d6e51"",""tail_report"":""2ae43652593d66198f6f7114b3b2945da23c6596aa0c7adbfa10be78805d4957"",""tail_source"":""0ebbf3eeca5bb6fedf3f714602ac2fbfea60e5c8c59d6230a5526df21b30eee1""}","analysis.family_method_summaries[step_calibration_shift,proposed_route_a]","[""TAIL_SAFETY_AND_IMPROVEMENT""]","{""average_ler"":0.012268348976417825,""global_worst_window_ler"":0.353515625,""p95_window_ler"":0.06494140625}"
Figure 3,d,f3d_step_calibration_shift_fallback,fallback_rate,proposed_route_a,step_calibration_shift,0.9585458260995371,null,null,fraction,COST_NOT_BENEFIT,PROJECT_NATIVE_SIMULATION,"[""tail_report"",""tail_source"",""promotion_report""]","{""promotion_report"":""58f7bd09c1c9982b5be9656cc7404d399567e165b140dc2f76ab0f3c129c5d22"",""tail_report"":""2ae43652593d66198f6f7114b3b2945da23c6596aa0c7adbfa10be78805d4957"",""tail_source"":""0ebbf3eeca5bb6fedf3f714602ac2fbfea60e5c8c59d6230a5526df21b30eee1""}",analysis.action_metrics_by_family[step_calibration_shift].fallback_rate,"[""TAIL_SAFETY_AND_IMPROVEMENT""]","{""false_updates"":3365,""recovery_p95_decisions"":null,""unnecessary_fallback_rate"":0.9462783248336227}"
Figure 3,c,f3c_telegraph_drift_ewma_adaptive_map,global_worst_window_error_count,ewma_adaptive_map,telegraph_drift,177,null,null,errors / 512,SAFETY_NONINFERIORITY_NOT_IMPROVEMENT,PROJECT_NATIVE_SIMULATION,"[""tail_report"",""tail_source"",""tail_code""]","{""tail_code"":""75580117b5085af3c55983bf6946d545410b742a94288d043b286885342d6e51"",""tail_report"":""2ae43652593d66198f6f7114b3b2945da23c6596aa0c7adbfa10be78805d4957"",""tail_source"":""0ebbf3eeca5bb6fedf3f714602ac2fbfea60e5c8c59d6230a5526df21b30eee1""}","analysis.family_method_summaries[telegraph_drift,ewma_adaptive_map]","[""TAIL_SAFETY_AND_IMPROVEMENT""]","{""average_ler"":0.006546585648148148,""global_worst_window_ler"":0.345703125,""p95_window_ler"":0.026529947916666668}"
Figure 3,c,f3c_telegraph_drift_proposed_route_a,global_worst_window_error_count,proposed_route_a,telegraph_drift,177,null,null,errors / 512,SAFETY_NONINFERIORITY_NOT_IMPROVEMENT,PROJECT_NATIVE_SIMULATION,"[""tail_report"",""tail_source"",""tail_code""]","{""tail_code"":""75580117b5085af3c55983bf6946d545410b742a94288d043b286885342d6e51"",""tail_report"":""2ae43652593d66198f6f7114b3b2945da23c6596aa0c7adbfa10be78805d4957"",""tail_source"":""0ebbf3eeca5bb6fedf3f714602ac2fbfea60e5c8c59d6230a5526df21b30eee1""}","analysis.family_method_summaries[telegraph_drift,proposed_route_a]","[""TAIL_SAFETY_AND_IMPROVEMENT""]","{""average_ler"":0.006546585648148148,""global_worst_window_ler"":0.345703125,""p95_window_ler"":0.026529947916666668}"
Figure 3,d,f3d_telegraph_drift_fallback,fallback_rate,proposed_route_a,telegraph_drift,0.5944959852430556,null,null,fraction,COST_NOT_BENEFIT,PROJECT_NATIVE_SIMULATION,"[""tail_report"",""tail_source"",""promotion_report""]","{""promotion_report"":""58f7bd09c1c9982b5be9656cc7404d399567e165b140dc2f76ab0f3c129c5d22"",""tail_report"":""2ae43652593d66198f6f7114b3b2945da23c6596aa0c7adbfa10be78805d4957"",""tail_source"":""0ebbf3eeca5bb6fedf3f714602ac2fbfea60e5c8c59d6230a5526df21b30eee1""}",analysis.action_metrics_by_family[telegraph_drift].fallback_rate,"[""TAIL_SAFETY_AND_IMPROVEMENT""]","{""false_updates"":2044,""recovery_p95_decisions"":288.0,""unnecessary_fallback_rate"":0.5880201834219473}"
Figure 3,c,f3c_burst_outlier_ewma_adaptive_map,global_worst_window_error_count,ewma_adaptive_map,burst_outlier,83,null,null,errors / 512,SAFETY_NONINFERIORITY_NOT_IMPROVEMENT,PROJECT_NATIVE_SIMULATION,"[""tail_report"",""tail_source"",""tail_code""]","{""tail_code"":""75580117b5085af3c55983bf6946d545410b742a94288d043b286885342d6e51"",""tail_report"":""2ae43652593d66198f6f7114b3b2945da23c6596aa0c7adbfa10be78805d4957"",""tail_source"":""0ebbf3eeca5bb6fedf3f714602ac2fbfea60e5c8c59d6230a5526df21b30eee1""}","analysis.family_method_summaries[burst_outlier,ewma_adaptive_map]","[""TAIL_SAFETY_AND_IMPROVEMENT""]","{""average_ler"":0.048367959481698496,""global_worst_window_ler"":0.162109375,""p95_window_ler"":0.12247721354166667}"
Figure 3,c,f3c_burst_outlier_proposed_route_a,global_worst_window_error_count,proposed_route_a,burst_outlier,83,null,null,errors / 512,SAFETY_NONINFERIORITY_NOT_IMPROVEMENT,PROJECT_NATIVE_SIMULATION,"[""tail_report"",""tail_source"",""tail_code""]","{""tail_code"":""75580117b5085af3c55983bf6946d545410b742a94288d043b286885342d6e51"",""tail_report"":""2ae43652593d66198f6f7114b3b2945da23c6596aa0c7adbfa10be78805d4957"",""tail_source"":""0ebbf3eeca5bb6fedf3f714602ac2fbfea60e5c8c59d6230a5526df21b30eee1""}","analysis.family_method_summaries[burst_outlier,proposed_route_a]","[""TAIL_SAFETY_AND_IMPROVEMENT""]","{""average_ler"":0.048367959481698496,""global_worst_window_ler"":0.162109375,""p95_window_ler"":0.12247721354166667}"
Figure 3,d,f3d_burst_outlier_fallback,fallback_rate,proposed_route_a,burst_outlier,0.7351842809606481,null,null,fraction,COST_NOT_BENEFIT,PROJECT_NATIVE_SIMULATION,"[""tail_report"",""tail_source"",""promotion_report""]","{""promotion_report"":""58f7bd09c1c9982b5be9656cc7404d399567e165b140dc2f76ab0f3c129c5d22"",""tail_report"":""2ae43652593d66198f6f7114b3b2945da23c6596aa0c7adbfa10be78805d4957"",""tail_source"":""0ebbf3eeca5bb6fedf3f714602ac2fbfea60e5c8c59d6230a5526df21b30eee1""}",analysis.action_metrics_by_family[burst_outlier].fallback_rate,"[""TAIL_SAFETY_AND_IMPROVEMENT""]","{""false_updates"":2617,""recovery_p95_decisions"":320.0,""unnecessary_fallback_rate"":0.6869066026475694}"
Figure 3,c,f3c_readout_reset_fault_ewma_adaptive_map,global_worst_window_error_count,ewma_adaptive_map,readout_reset_fault,2,null,null,errors / 512,SAFETY_NONINFERIORITY_NOT_IMPROVEMENT,PROJECT_NATIVE_SIMULATION,"[""tail_report"",""tail_source"",""tail_code""]","{""tail_code"":""75580117b5085af3c55983bf6946d545410b742a94288d043b286885342d6e51"",""tail_report"":""2ae43652593d66198f6f7114b3b2945da23c6596aa0c7adbfa10be78805d4957"",""tail_source"":""0ebbf3eeca5bb6fedf3f714602ac2fbfea60e5c8c59d6230a5526df21b30eee1""}","analysis.family_method_summaries[readout_reset_fault,ewma_adaptive_map]","[""TAIL_SAFETY_AND_IMPROVEMENT""]","{""average_ler"":2.4159749348958332e-05,""global_worst_window_ler"":0.00390625,""p95_window_ler"":0.0}"
Figure 3,c,f3c_readout_reset_fault_proposed_route_a,global_worst_window_error_count,proposed_route_a,readout_reset_fault,2,null,null,errors / 512,SAFETY_NONINFERIORITY_NOT_IMPROVEMENT,PROJECT_NATIVE_SIMULATION,"[""tail_report"",""tail_source"",""tail_code""]","{""tail_code"":""75580117b5085af3c55983bf6946d545410b742a94288d043b286885342d6e51"",""tail_report"":""2ae43652593d66198f6f7114b3b2945da23c6596aa0c7adbfa10be78805d4957"",""tail_source"":""0ebbf3eeca5bb6fedf3f714602ac2fbfea60e5c8c59d6230a5526df21b30eee1""}","analysis.family_method_summaries[readout_reset_fault,proposed_route_a]","[""TAIL_SAFETY_AND_IMPROVEMENT""]","{""average_ler"":2.4159749348958332e-05,""global_worst_window_ler"":0.00390625,""p95_window_ler"":0.0}"
Figure 3,d,f3d_readout_reset_fault_fallback,fallback_rate,proposed_route_a,readout_reset_fault,0.7496292679398148,null,null,fraction,COST_NOT_BENEFIT,PROJECT_NATIVE_SIMULATION,"[""tail_report"",""tail_source"",""promotion_report""]","{""promotion_report"":""58f7bd09c1c9982b5be9656cc7404d399567e165b140dc2f76ab0f3c129c5d22"",""tail_report"":""2ae43652593d66198f6f7114b3b2945da23c6596aa0c7adbfa10be78805d4957"",""tail_source"":""0ebbf3eeca5bb6fedf3f714602ac2fbfea60e5c8c59d6230a5526df21b30eee1""}",analysis.action_metrics_by_family[readout_reset_fault].fallback_rate,"[""TAIL_SAFETY_AND_IMPROVEMENT""]","{""false_updates"":2605,""recovery_p95_decisions"":256.0,""unnecessary_fallback_rate"":0.7496087816026475}"
Figure 3,c,f3c_leakage_persistence_ewma_adaptive_map,global_worst_window_error_count,ewma_adaptive_map,leakage_persistence,2,null,null,errors / 512,SAFETY_NONINFERIORITY_NOT_IMPROVEMENT,PROJECT_NATIVE_SIMULATION,"[""tail_report"",""tail_source"",""tail_code""]","{""tail_code"":""75580117b5085af3c55983bf6946d545410b742a94288d043b286885342d6e51"",""tail_report"":""2ae43652593d66198f6f7114b3b2945da23c6596aa0c7adbfa10be78805d4957"",""tail_source"":""0ebbf3eeca5bb6fedf3f714602ac2fbfea60e5c8c59d6230a5526df21b30eee1""}","analysis.family_method_summaries[leakage_persistence,ewma_adaptive_map]","[""TAIL_SAFETY_AND_IMPROVEMENT""]","{""average_ler"":2.260561342592592e-05,""global_worst_window_ler"":0.00390625,""p95_window_ler"":0.0}"
Figure 3,c,f3c_leakage_persistence_proposed_route_a,global_worst_window_error_count,proposed_route_a,leakage_persistence,2,null,null,errors / 512,SAFETY_NONINFERIORITY_NOT_IMPROVEMENT,PROJECT_NATIVE_SIMULATION,"[""tail_report"",""tail_source"",""tail_code""]","{""tail_code"":""75580117b5085af3c55983bf6946d545410b742a94288d043b286885342d6e51"",""tail_report"":""2ae43652593d66198f6f7114b3b2945da23c6596aa0c7adbfa10be78805d4957"",""tail_source"":""0ebbf3eeca5bb6fedf3f714602ac2fbfea60e5c8c59d6230a5526df21b30eee1""}","analysis.family_method_summaries[leakage_persistence,proposed_route_a]","[""TAIL_SAFETY_AND_IMPROVEMENT""]","{""average_ler"":2.260561342592592e-05,""global_worst_window_ler"":0.00390625,""p95_window_ler"":0.0}"
Figure 3,d,f3d_leakage_persistence_fallback,fallback_rate,proposed_route_a,leakage_persistence,0.7484311704282407,null,null,fraction,COST_NOT_BENEFIT,PROJECT_NATIVE_SIMULATION,"[""tail_report"",""tail_source"",""promotion_report""]","{""promotion_report"":""58f7bd09c1c9982b5be9656cc7404d399567e165b140dc2f76ab0f3c129c5d22"",""tail_report"":""2ae43652593d66198f6f7114b3b2945da23c6596aa0c7adbfa10be78805d4957"",""tail_source"":""0ebbf3eeca5bb6fedf3f714602ac2fbfea60e5c8c59d6230a5526df21b30eee1""}",analysis.action_metrics_by_family[leakage_persistence].fallback_rate,"[""TAIL_SAFETY_AND_IMPROVEMENT""]","{""false_updates"":2598,""recovery_p95_decisions"":256.0,""unnecessary_fallback_rate"":0.7484109666612413}"
Figure 3,c,f3c_compound_ood_ewma_adaptive_map,global_worst_window_error_count,ewma_adaptive_map,compound_ood,114,null,null,errors / 512,SAFETY_NONINFERIORITY_NOT_IMPROVEMENT,PROJECT_NATIVE_SIMULATION,"[""tail_report"",""tail_source"",""tail_code""]","{""tail_code"":""75580117b5085af3c55983bf6946d545410b742a94288d043b286885342d6e51"",""tail_report"":""2ae43652593d66198f6f7114b3b2945da23c6596aa0c7adbfa10be78805d4957"",""tail_source"":""0ebbf3eeca5bb6fedf3f714602ac2fbfea60e5c8c59d6230a5526df21b30eee1""}","analysis.family_method_summaries[compound_ood,ewma_adaptive_map]","[""TAIL_SAFETY_AND_IMPROVEMENT""]","{""average_ler"":0.04612802576135707,""global_worst_window_ler"":0.22265625,""p95_window_ler"":0.11612955729166667}"
Figure 3,c,f3c_compound_ood_proposed_route_a,global_worst_window_error_count,proposed_route_a,compound_ood,114,null,null,errors / 512,SAFETY_NONINFERIORITY_NOT_IMPROVEMENT,PROJECT_NATIVE_SIMULATION,"[""tail_report"",""tail_source"",""tail_code""]","{""tail_code"":""75580117b5085af3c55983bf6946d545410b742a94288d043b286885342d6e51"",""tail_report"":""2ae43652593d66198f6f7114b3b2945da23c6596aa0c7adbfa10be78805d4957"",""tail_source"":""0ebbf3eeca5bb6fedf3f714602ac2fbfea60e5c8c59d6230a5526df21b30eee1""}","analysis.family_method_summaries[compound_ood,proposed_route_a]","[""TAIL_SAFETY_AND_IMPROVEMENT""]","{""average_ler"":0.04612802576135707,""global_worst_window_ler"":0.22265625,""p95_window_ler"":0.11612955729166667}"
Figure 3,d,f3d_compound_ood_fallback,fallback_rate,proposed_route_a,compound_ood,0.7503074363425926,null,null,fraction,COST_NOT_BENEFIT,PROJECT_NATIVE_SIMULATION,"[""tail_report"",""tail_source"",""promotion_report""]","{""promotion_report"":""58f7bd09c1c9982b5be9656cc7404d399567e165b140dc2f76ab0f3c129c5d22"",""tail_report"":""2ae43652593d66198f6f7114b3b2945da23c6596aa0c7adbfa10be78805d4957"",""tail_source"":""0ebbf3eeca5bb6fedf3f714602ac2fbfea60e5c8c59d6230a5526df21b30eee1""}",analysis.action_metrics_by_family[compound_ood].fallback_rate,"[""TAIL_SAFETY_AND_IMPROVEMENT""]","{""false_updates"":2615,""recovery_p95_decisions"":256.0,""unnecessary_fallback_rate"":0.7051240426522715}"
Figure 3,d,f3d_nominal_fallback,fallback_rate,proposed_route_a,nominal_static,0.001193576388888889,null,null,fraction,NOMINAL_NONINFERIORITY_COST,PROJECT_NATIVE_SIMULATION,"[""tail_report"",""tail_source"",""promotion_report""]","{""promotion_report"":""58f7bd09c1c9982b5be9656cc7404d399567e165b140dc2f76ab0f3c129c5d22"",""tail_report"":""2ae43652593d66198f6f7114b3b2945da23c6596aa0c7adbfa10be78805d4957"",""tail_source"":""0ebbf3eeca5bb6fedf3f714602ac2fbfea60e5c8c59d6230a5526df21b30eee1""}",analysis.nominal_noninferiority_gate,"[""TAIL_SAFETY_AND_IMPROVEMENT""]","{""average_difference"":0.0,""unnecessary_fallback_rate"":0.001178317599826389}"
Figure 4,a,f4a_qualified_cycles,qualified_cycles,route_a_integrated_rtl,preboard_long_sequence,1000000,null,null,cycles,PREBOARD_CORRECTNESS,CXXRTL_PREBOARD,"[""rtl_report"",""rtl_source"",""rtl_code""]","{""rtl_code"":""741df9dcf1d9afcab2730b10ee17def016e3a1c7655c5c28249cb60933c2a369"",""rtl_report"":""76a00242af2a61900c1151eb77c64aec070b59fb7525fdb1bded73d6eb6c508c"",""rtl_source"":""4869def05ada1cc8291bd5dbb5e3e5df5bc02958743a35b037d31eaef24c4204""}",aggregate_python.cycles,"[""FPGA_DETERMINISTIC_ARCHITECTURE""]",{}
Figure 4,a,f4a_rtl_mismatches,rtl_mismatches,route_a_integrated_rtl,preboard_long_sequence,0,null,null,count,PREBOARD_CORRECTNESS,CXXRTL_PREBOARD,"[""rtl_report"",""rtl_source"",""rtl_code""]","{""rtl_code"":""741df9dcf1d9afcab2730b10ee17def016e3a1c7655c5c28249cb60933c2a369"",""rtl_report"":""76a00242af2a61900c1151eb77c64aec070b59fb7525fdb1bded73d6eb6c508c"",""rtl_source"":""4869def05ada1cc8291bd5dbb5e3e5df5bc02958743a35b037d31eaef24c4204""}",cxxrtl_families[*].mismatches,"[""FPGA_DETERMINISTIC_ARCHITECTURE""]",{}
Figure 4,a,f4a_undefined_actions,undefined_actions,route_a_integrated_rtl,preboard_long_sequence,0,null,null,count,PREBOARD_CORRECTNESS,CXXRTL_PREBOARD,"[""rtl_report"",""rtl_source"",""rtl_code""]","{""rtl_code"":""741df9dcf1d9afcab2730b10ee17def016e3a1c7655c5c28249cb60933c2a369"",""rtl_report"":""76a00242af2a61900c1151eb77c64aec070b59fb7525fdb1bded73d6eb6c508c"",""rtl_source"":""4869def05ada1cc8291bd5dbb5e3e5df5bc02958743a35b037d31eaef24c4204""}",aggregate_python.undefined_actions,"[""FPGA_DETERMINISTIC_ARCHITECTURE""]",{}
Figure 4,a,f4a_silent_overflow,silent_overflow,route_a_integrated_rtl,preboard_long_sequence,0,null,null,count,PREBOARD_CORRECTNESS,CXXRTL_PREBOARD,"[""rtl_report"",""rtl_source"",""rtl_code""]","{""rtl_code"":""741df9dcf1d9afcab2730b10ee17def016e3a1c7655c5c28249cb60933c2a369"",""rtl_report"":""76a00242af2a61900c1151eb77c64aec070b59fb7525fdb1bded73d6eb6c508c"",""rtl_source"":""4869def05ada1cc8291bd5dbb5e3e5df5bc02958743a35b037d31eaef24c4204""}",aggregate_python.silent_overflow,"[""FPGA_DETERMINISTIC_ARCHITECTURE""]",{}
Figure 4,b,f4b_latency_cycles,source_to_action_latency,selected_no_student,clock_model,6,null,null,cycles,CLOCK_MODEL_NOT_BOARD,POST_ROUTE_ESTIMATE,"[""pr_report"",""pr_source"",""pr_code""]","{""pr_code"":""0214483cbda38c9831323e16eccd795066c2c2b5ec07f0c27d2b443b0cd3dc5e"",""pr_report"":""fa0182f238976531dfb01c5fbd18fe3ee31c418ab006b1fcbf68d76c549b0887"",""pr_source"":""4159c3ba7cd5c881ee290c0f116708781e30c752efa559a65336f717356956bb""}",profiles.route_a_core_no_student.source_to_action_latency_model.cycles,"[""FPGA_DETERMINISTIC_ARCHITECTURE""]",{}
Figure 4,b,f4b_ii,initiation_interval,selected_no_student,clock_model,1,null,null,cycles,CLOCK_MODEL_NOT_BOARD,POST_ROUTE_ESTIMATE,"[""pr_report"",""pr_source"",""pr_code""]","{""pr_code"":""0214483cbda38c9831323e16eccd795066c2c2b5ec07f0c27d2b443b0cd3dc5e"",""pr_report"":""fa0182f238976531dfb01c5fbd18fe3ee31c418ab006b1fcbf68d76c549b0887"",""pr_source"":""4159c3ba7cd5c881ee290c0f116708781e30c752efa559a65336f717356956bb""}",profiles.route_a_core_no_student.source_to_action_latency_model.initiation_interval_cycles,"[""FPGA_DETERMINISTIC_ARCHITECTURE""]",{}
