row_type,restart_index,restart_seed,split,cutoff,epoch,metric,value,secondary_value,checkpoint_sha256,detail_json
training_epoch,2,811,training,,277,mean_reward,0.5138004897219954,2.7583979178874456,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5208432398830254, ""control_residual_rms"": 0.15480579071639597, ""control_slew_rms"": 0.023480893421945453, ""epoch"": 277, ""gradient_norm_before_clip"": 2.7583979178874456, ""ground_outcome_fraction"": 0.8333333333333334, ""loss"": -0.94902626343113, ""mean_reward"": 0.5138004897219954, ""score_path"": 0.4352260188709865}"
training_epoch,2,811,training,,278,mean_reward,0.5280037995322027,3.640830302331319,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5212012678654843, ""control_residual_rms"": 0.15405599585159035, ""control_slew_rms"": 0.024421394648869353, ""epoch"": 278, ""gradient_norm_before_clip"": 3.640830302331319, ""ground_outcome_fraction"": 0.825, ""loss"": -0.9270511195980918, ""mean_reward"": 0.5280037995322027, ""score_path"": 0.39904756336243286}"
training_epoch,2,811,training,,279,mean_reward,0.4825422735816183,2.744440315592806,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5192683181512909, ""control_residual_rms"": 0.15576838753143538, ""control_slew_rms"": 0.02231333976944209, ""epoch"": 279, ""gradient_norm_before_clip"": 2.744440315592806, ""ground_outcome_fraction"": 0.85, ""loss"": -0.9971215308238058, ""mean_reward"": 0.4825422735816183, ""score_path"": 0.5145795048589444}"
training_epoch,2,811,training,,280,mean_reward,0.46820152267509496,2.2981675269621924,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5167149783774811, ""control_residual_rms"": 0.15128369455190774, ""control_slew_rms"": 0.025228818290373208, ""epoch"": 280, ""gradient_norm_before_clip"": 2.2981675269621924, ""ground_outcome_fraction"": 0.7916666666666666, ""loss"": -1.2224169374079947, ""mean_reward"": 0.46820152267509496, ""score_path"": 0.7542156499653949}"
training_epoch,2,811,training,,281,mean_reward,0.5247191253148815,2.342324830943147,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5171151857243512, ""control_residual_rms"": 0.157225606384529, ""control_slew_rms"": 0.02018227098370513, ""epoch"": 281, ""gradient_norm_before_clip"": 2.342324830943147, ""ground_outcome_fraction"": 0.8833333333333333, ""loss"": -1.0005432203617306, ""mean_reward"": 0.5247191253148815, ""score_path"": 0.47582434631900283}"
training_epoch,2,811,training,,282,mean_reward,0.47525619608229525,1.8545762750321972,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5150222362422484, ""control_residual_rms"": 0.15403869501066275, ""control_slew_rms"": 0.021496292859449484, ""epoch"": 282, ""gradient_norm_before_clip"": 1.8545762750321972, ""ground_outcome_fraction"": 0.85, ""loss"": -1.3018152484847374, ""mean_reward"": 0.47525619608229525, ""score_path"": 0.8265592943025439}"
training_epoch,2,811,training,,283,mean_reward,0.6214972348697577,1.7351181019804538,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5203459861736239, ""control_residual_rms"": 0.15473530982212677, ""control_slew_rms"": 0.020340630390645046, ""epoch"": 283, ""gradient_norm_before_clip"": 1.7351181019804538, ""ground_outcome_fraction"": 0.8833333333333333, ""loss"": -0.08459880959037286, ""mean_reward"": 0.6214972348697577, ""score_path"": -0.5368981817118114}"
training_epoch,2,811,training,,284,mean_reward,0.431147846998976,1.6697332974583845,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5158860792148915, ""control_residual_rms"": 0.14981309623247321, ""control_slew_rms"": 0.022317006986379624, ""epoch"": 284, ""gradient_norm_before_clip"": 1.6697332974583845, ""ground_outcome_fraction"": 0.8083333333333333, ""loss"": -1.6437175418673413, ""mean_reward"": 0.431147846998976, ""score_path"": 1.2125699242884913}"
training_epoch,2,811,training,,285,mean_reward,0.5458935390603217,1.2395730963868892,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.517386452207163, ""control_residual_rms"": 0.14777114780139228, ""control_slew_rms"": 0.023943276526808242, ""epoch"": 285, ""gradient_norm_before_clip"": 1.2395730963868892, ""ground_outcome_fraction"": 0.8083333333333333, ""loss"": -0.5892432078372714, ""mean_reward"": 0.5458935390603217, ""score_path"": 0.043349892872875787}"
training_epoch,2,811,training,,286,mean_reward,0.39846321906237325,3.309774888870617,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5114402905499235, ""control_residual_rms"": 0.14755094756964154, ""control_slew_rms"": 0.023541858934251144, ""epoch"": 286, ""gradient_norm_before_clip"": 3.309774888870617, ""ground_outcome_fraction"": 0.8, ""loss"": -2.264085723721497, ""mean_reward"": 0.39846321906237325, ""score_path"": 1.8656227279141362}"
training_epoch,2,811,training,,287,mean_reward,0.4847629179844644,3.7595588193620433,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.5101064219216506, ""control_residual_rms"": 0.14728087465723394, ""control_slew_rms"": 0.022637334142598185, ""epoch"": 287, ""gradient_norm_before_clip"": 3.7595588193620433, ""ground_outcome_fraction"": 0.825, ""loss"": -0.7149929440486059, ""mean_reward"": 0.4847629179844644, ""score_path"": 0.2302302481051908}"
training_epoch,2,811,training,,288,mean_reward,0.5080128794893207,2.2868307228865663,486079ba00a38cad0ce031d604decbac0821b781beb2e931e8a2d9c7e4c39352,"{""baseline"": 0.510001744800034, ""control_residual_rms"": 0.148977279006454, ""control_slew_rms"": 0.021390349794205187, ""epoch"": 288, ""gradient_norm_before_clip"": 2.2868307228865663, ""ground_outcome_fraction"": 0.8416666666666667, ""loss"": -1.1625484910149098, ""mean_reward"": 0.5080128794893207, ""score_path"": 0.6545358380433562}"
