category,task_id,contract_id,status,implementation_sha256,path,sha256,gate_count,all_gates_passed,stored_implementation_sha256,live_implementation_sha256,implementation_hash_matches,required_fragments,sections,source_scope,lane_id,cutoff,noise_profile,mode,cycle,time_us,entanglement_fidelity,average_fidelity,mean_code_survival,tp_assuming_average_fidelity,tp_formula_overstatement,direct_six_state_average_fidelity,direct_six_state_mean_survival,mean_conditional_state_fidelity,minimum_conditional_state_fidelity,maximum_conditional_state_fidelity,minimum_state_survival,maximum_state_survival,six_state_ptm_residual,six_state_survival_residual,state_label,survival,leakage_inclusive_state_fidelity,conditional_state_fidelity,step_us,one_step_rate_per_us,three_point_rate_per_us,four_point_rate_per_us,primary_rate_per_us,primary_rate_per_cycle,primary_lifetime_us,primary_lifetime_cycles,algebraic_inverse_rate_us,algebraic_inverse_rate_cycles,discretization_rate_min_per_us,discretization_rate_max_per_us,discretization_spread_per_us,initial_curvature_per_us2,initial_average_fidelity,first_cycle_average_fidelity,second_cycle_average_fidelity,first_three_monotone_nonincreasing,relative_discretization_spread,reliability_status,primary_definition,uncertainty_role,exponential_fit_used,metric,lower_cutoff,higher_cutoff,value_at_lower_cutoff,value_at_higher_cutoff,numerical_interval_min,numerical_interval_max,absolute_spread,relative_half_spread,uncertainty_type,statistical_confidence_level,is_confidence_interval,infinite_cutoff_claim,qec_on_minus_off_final_entanglement_fidelity,qec_on_minus_off_final_average_fidelity,qec_on_minus_off_final_mean_survival,qec_on_minus_off_short_time_rate_per_us,ratio_or_gain_reported,operational_boundary_claim,cutoff12_qec_on_minus_off_final_average_fidelity,cutoff40_qec_on_minus_off_final_average_fidelity,direction_reversal_preserved,used_to_select_or_drop_data,gate,passed
state_fidelity,,,,,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,,,,,,,,,,,,,,,y_plus,0.7945412274062658,0.7943874279632006,0.999806429877066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_fidelity,,,,,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,,,,,,,,,,,,,,,y_minus,0.7945412274062658,0.7943874279632006,0.999806429877066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_fidelity,,,,,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,,,,,,,,,,,,,,,z_plus,0.7895172679157403,0.7893875181867183,0.9998356594158294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_fidelity,,,,,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,,,,,,,,,,,,,,,z_minus,0.7995651868967915,0.7993457314520876,0.9997255315160036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel_fidelity,,,,,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,3,30.0,0.7140319802557608,0.7142959981315301,0.7148240338830688,0.8093546535038406,0.09505865537231051,0.7142959981315302,0.7148240338830689,0.9992621799616952,0.999085177457855,0.9995879466566371,0.7108734335234086,0.7187746342427292,1.1102230246251565e-16,1.1102230246251565e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_fidelity,,,,,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,3,30.0,,,,,,,,,,,,,,,x_plus,0.7108734335234086,0.7105805157484174,0.9995879466566371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_fidelity,,,,,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,3,30.0,,,,,,,,,,,,,,,x_minus,0.7187746342427292,0.7181375720488019,0.9991136829771428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_fidelity,,,,,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,3,30.0,,,,,,,,,,,,,,,y_plus,0.7148240338830689,0.7141700967432056,0.999085177457855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_fidelity,,,,,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,3,30.0,,,,,,,,,,,,,,,y_minus,0.7148240338830689,0.7141700967432056,0.999085177457855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_fidelity,,,,,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,3,30.0,,,,,,,,,,,,,,,z_plus,0.7108752346209462,0.71058204825158,0.9995875698644608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
