cell_id,family,margin,cluster_count,effect_ratio,true_difference,trial_seed,multiplier_seed,estimate,raw_radius,upper_bound,covers_truth,declares_equivalent,power_primary
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,327883958,327893958,0.0001244708740175315,0.0009193054274466717,0.0010437763014642032,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,334301525,334311525,0.00046687032343299055,0.0012023313765559531,0.0016692016999889437,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,334448725,334458725,8.697815907444412e-05,0.0011195178779338686,0.0012064960370083127,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,338352161,338362161,0.0008292268515135897,0.0006352523491497609,0.0014644792006633506,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,341254323,341264323,8.651304041347083e-05,0.0009856059103531749,0.0010721189507666457,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,344163253,344173253,0.0007102550600645661,0.0008982166025879133,0.0016084716626524795,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,350856946,350866946,0.0001929478206596975,0.0009963144614035105,0.001189262282063208,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,352906103,352916103,0.0005926844620590272,0.001186839060024902,0.0017795235220839293,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,362723137,362733137,0.0002841546418320073,0.0011250547609995916,0.0014092094028315988,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,376964983,376974983,7.278120875983545e-05,0.0007355099348802102,0.0008082911436400456,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,379420125,379430125,0.00010026060453621398,0.0009404650948879301,0.0010407256994241442,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,380010301,380020301,0.0004150783041163353,0.000990117236305315,0.0014051955404216503,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,380948127,380958127,0.000359772130821649,0.0009654509673388507,0.0013252230981604996,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,381326948,381336948,0.0004331225397117291,0.0008592950250347098,0.001292417564746439,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,382910234,382920234,0.0003209723602662604,0.0007010271119439845,0.0010219994722102449,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,386483265,386493265,0.0006368675385089545,0.00110671263641376,0.0017435801749227146,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,386839544,386849544,0.00020458375253355312,0.0006161130019171757,0.0008206967544507288,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,400443094,400453094,0.0003264068294342927,0.001033613522866364,0.0013600203523006567,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,413296484,413306484,0.0003079286534556686,0.0008789431723394497,0.0011868718257951182,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,417405140,417415140,0.0010311963259468369,0.001021267611239958,0.0020524639371867948,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,418042614,418052614,0.0004709349499944754,0.0006692450136751016,0.001140179963669577,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,418834169,418844169,0.000396990200145956,0.001024430782860929,0.0014214209830068852,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,419356116,419366116,0.00044766010982124764,0.00121689778745459,0.0016645578972758377,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,423683300,423693300,0.00012062105644328347,0.0011346026497784988,0.0012552237062217822,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,426612214,426622214,0.00019915562735744327,0.0010516269368463392,0.0012507825642037824,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,431476427,431486427,0.00012289566561708574,0.0006693562020598214,0.0007922518676769072,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,437294738,437304738,5.696251366843207e-05,0.0010209750592372962,0.0010779375729057282,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,437891286,437901286,0.0007207628314699027,0.0009255907664331302,0.0016463535979030328,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,439924265,439934265,0.0006573138453451581,0.0011289817622362741,0.0017862956075814322,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,440637490,440647490,0.0002444437880754087,0.0010930739572445336,0.0013375177453199424,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,441711758,441721758,0.0008569819707612007,0.0009735665539841121,0.0018305485247453127,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,443004945,443014945,6.922314029333233e-05,0.0009477417406399817,0.0010169648809333141,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,445085670,445095670,0.0005759769642319575,0.0011282123599496516,0.0017041893241816091,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,447249143,447259143,0.00017171890294952102,0.0006410819218228375,0.0008128008247723585,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,447342079,447352079,0.00048522765739792036,0.0007846343783117375,0.001269862035709658,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,448047440,448057440,0.0002551292292957321,0.0007388799449304672,0.0009940091742261993,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,448766594,448776594,0.0007438558369152686,0.0014437557849291307,0.0021876116218443992,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,453167884,453177884,0.0007401042205161276,0.0005292924962420539,0.0012693967167581813,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,458087368,458097368,0.0004430341202596658,0.0004923667177770146,0.0009354008380366805,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,459064777,459074777,0.00015201270881030505,0.0009163052751641289,0.0010683179839744339,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,464502184,464512184,8.544462184162647e-05,0.001074022506143122,0.0011594671279847484,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,464800675,464810675,0.00022061793530189734,0.0007374068598914202,0.0009580247951933176,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,465529750,465539750,0.000508861623442092,0.0012891624346765497,0.0017980240581186417,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,469075086,469085086,0.0005249041598487064,0.0007456371154950355,0.0012705412753437418,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,473276760,473286760,0.0005691371688995064,0.0011575030534369496,0.0017266402223364559,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,478288335,478298335,0.00015131625067932387,0.0011837764082278433,0.0013350926589071673,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,481411653,481421653,1.2067947621798098e-05,0.0008612411602030101,0.0008733091078248083,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,488323325,488333325,0.0004076119877773015,0.0011577170018002949,0.0015653289895775965,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,489896779,489906779,0.00015122797587154574,0.0012073886725906197,0.0013586166484621655,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,490529780,490539780,0.00059086505023468,0.0009258787130272521,0.001516743763261932,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,491361879,491371879,0.0005526596493152573,0.0010100307695776435,0.0015626904188929007,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,492490517,492500517,0.001000568096475904,0.0007905690406116604,0.0017911371370875643,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,494093168,494103168,6.954278564990869e-06,0.0007043075355286604,0.0007112618140936512,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,503567396,503577396,7.576653123207641e-05,0.0008585110306165811,0.0009342775618486575,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,509748686,509758686,0.0005804910268612365,0.0008396321546779425,0.001420123181539179,True,True,True
