row_type,seed,family,method,index,numerator,denominator,value,metric,evidence
window,61830001,smooth,static_euclidean,117,114,512,0.22265625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,118,118,512,0.23046875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,119,105,512,0.205078125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,120,127,512,0.248046875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,121,124,512,0.2421875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,122,105,512,0.205078125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,123,90,512,0.17578125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,124,127,512,0.248046875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,125,121,512,0.236328125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,126,111,512,0.216796875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,127,124,512,0.2421875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,128,139,512,0.271484375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,129,126,512,0.24609375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,130,109,512,0.212890625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,131,108,512,0.2109375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,132,137,512,0.267578125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,133,132,512,0.2578125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,134,127,512,0.248046875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,135,127,512,0.248046875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,136,124,512,0.2421875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,137,105,512,0.205078125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,138,116,512,0.2265625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,139,129,512,0.251953125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,140,132,512,0.2578125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,141,116,512,0.2265625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,142,123,512,0.240234375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,143,130,512,0.25390625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,144,108,512,0.2109375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,145,109,512,0.212890625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,146,109,512,0.212890625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,147,112,512,0.21875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,148,118,512,0.23046875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,149,106,512,0.20703125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,150,117,512,0.228515625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,151,100,512,0.1953125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,152,107,512,0.208984375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,153,115,512,0.224609375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,154,110,512,0.21484375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,155,103,512,0.201171875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,156,119,512,0.232421875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,157,119,512,0.232421875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,158,114,512,0.22265625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,159,117,512,0.228515625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,160,113,512,0.220703125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,161,116,512,0.2265625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,162,140,512,0.2734375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,163,119,512,0.232421875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,164,139,512,0.271484375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,165,101,512,0.197265625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,166,111,512,0.216796875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,167,126,512,0.24609375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,168,135,512,0.263671875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,169,124,512,0.2421875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,170,114,512,0.22265625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,171,120,512,0.234375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,172,106,512,0.20703125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,173,111,512,0.216796875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,174,127,512,0.248046875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,175,122,512,0.23828125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,176,133,512,0.259765625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,177,133,512,0.259765625,window_ler,PROJECT_NATIVE_MATCHED
