row_type,key,family,value,detail
grid_chunk,q800:832,complete_adc_domain,0,"{""hard_disagreements"": 0, ""p_llr_max_abs_error"": 7.105427357601002e-15, ""points"": 32768, ""q_llr_max_abs_error"": 3.552713678800501e-15, ""q_start"": 800, ""q_stop"": 832}"
grid_chunk,q832:864,complete_adc_domain,0,"{""hard_disagreements"": 0, ""p_llr_max_abs_error"": 7.105427357601002e-15, ""points"": 32768, ""q_llr_max_abs_error"": 1.7763568394002505e-15, ""q_start"": 832, ""q_stop"": 864}"
grid_chunk,q864:896,complete_adc_domain,0,"{""hard_disagreements"": 0, ""p_llr_max_abs_error"": 7.105427357601002e-15, ""points"": 32768, ""q_llr_max_abs_error"": 3.552713678800501e-15, ""q_start"": 864, ""q_stop"": 896}"
grid_chunk,q896:928,complete_adc_domain,0,"{""hard_disagreements"": 0, ""p_llr_max_abs_error"": 8.881784197001252e-15, ""points"": 32768, ""q_llr_max_abs_error"": 3.552713678800501e-15, ""q_start"": 896, ""q_stop"": 928}"
grid_chunk,q928:960,complete_adc_domain,0,"{""hard_disagreements"": 0, ""p_llr_max_abs_error"": 7.105427357601002e-15, ""points"": 32768, ""q_llr_max_abs_error"": 2.6645352591003757e-15, ""q_start"": 928, ""q_stop"": 960}"
grid_chunk,q960:992,complete_adc_domain,0,"{""hard_disagreements"": 0, ""p_llr_max_abs_error"": 7.105427357601002e-15, ""points"": 32768, ""q_llr_max_abs_error"": 3.552713678800501e-15, ""q_start"": 960, ""q_stop"": 992}"
grid_chunk,q992:1024,complete_adc_domain,0,"{""hard_disagreements"": 0, ""p_llr_max_abs_error"": 7.105427357601002e-15, ""points"": 32768, ""q_llr_max_abs_error"": 3.552713678800501e-15, ""q_start"": 992, ""q_stop"": 1024}"
gate,G01_parent_formal_report_recomputes,,true,
gate,G02_exact_same_trace_methods_and_oracle_partition,,true,
gate,G03_all_rows_report_pauli_average_tail_and_family_metrics,,true,
gate,G04_full_formal_scale_is_preserved,,true,
gate,G05_topk_k4_is_exhaustively_hard_action_equivalent,,true,
gate,G06_topk_soft_approximation_is_not_hidden,,true,
gate,G07_paired_static_contrast_falsifies_route_a_superiority,,true,
gate,G08_literature_rows_are_primary_and_forbid_cross_model_raw_ranking,,true,
gate,G09_claim_registry_freezes_negative_result,,true,
gate,G10_cost_and_hardware_scope_are_explicit,,true,
gate,G11_semantic_mutations_fail_closed,,true,
