brier,decision_sha256,failures,gate,logical_error_rate,max_transient_workspace_bytes,max_update_macs,method_id,nll,passed,private_model_state_bytes,ranking_status,row_type,samples,table,window_id
0.0002320304232781642,,0,,0.0,,,hidden_state_oracle,0.0008594106025886444,,,,window_metric,1024,,4
0.0009653694226924856,,1,,0.0009765625,,,hidden_state_oracle,0.0016313915953795049,,,,window_metric,1024,,5
0.0015334753056652935,,1,,0.0009765625,,,hidden_state_oracle,0.0023973703357923312,,,,window_metric,1024,,6
0.003066576569231219,,2,,0.001953125,,,hidden_state_oracle,0.004685917933273116,,,,window_metric,1024,,7
0.00921871710915814,,7,,0.0068359375,,,hidden_state_oracle,0.015382666592113141,,,,window_metric,1024,,8
0.008641034147363077,,5,,0.0048828125,,,hidden_state_oracle,0.014785396343759055,,,,window_metric,1024,,9
0.008901499701243862,,6,,0.005859375,,,hidden_state_oracle,0.017404274285683627,,,,window_metric,1024,,10
0.0068141531619079565,,4,,0.00390625,,,hidden_state_oracle,0.013167019322311124,,,,window_metric,1024,,11
0.011866765393669612,,8,,0.0078125,,,hidden_state_oracle,0.020847287905805797,,,,window_metric,1024,,12
0.00964299032100549,,7,,0.0068359375,,,hidden_state_oracle,0.015987811691182994,,,,window_metric,1024,,13
0.010940399880057529,,8,,0.0078125,,,hidden_state_oracle,0.018524144656957627,,,,window_metric,1024,,14
0.012706061772782055,,9,,0.0087890625,,,hidden_state_oracle,0.022438018029358835,,,,window_metric,1024,,15
,fa43239bcee7b97ca62f007cc68487560a39e19f74f3dde7486db3f98df8e471,,,,0,0,standard_binning,,,0,eligible_for_common_trace_qualification,method_cost,,,
,1c95c9244e0c1911efad78902bcd35a081db2b541ada288e30ea105dd094c4a6,,,,256,0,static_joint_map,,,24,eligible_for_common_trace_qualification,method_cost,,,
,0700f42aa1e59a6b49f8cff3d250be8638a67a7897b189ebae963e0b41de81f3,,,,512,128,window_map,,,32,eligible_for_common_trace_qualification,method_cost,,,
,fba960c33ae77e273f10c1a22d6c8e9330487a4c87b5774cb52abfc3ffcac921,,,,512,136,ewma_adaptive_map,,,80,eligible_for_common_trace_qualification,method_cost,,,
,1210f5fa820951af16261a1369ab3a5966fae84f82112d739aabbf5d5d9b2a49,,,,2048,7121,kalman_adaptive_map,,,1740,eligible_for_common_trace_qualification,method_cost,,,
,0926d1368fb494f4e3ff9787fdf998a928cf767605758bd45a2555fc068a0601,,,,3072,8047,proposed_route_a,,,5468,integration_qualification_only_not_formal_result,method_cost,,,
,c629407bf3ac8ddcaa1885617c28d711a4c2c02e1ff1429e9ccb8d833e776585,,,,65536,3489984,legacy_cnn_residual,,,1586368,ablation_only_failed_input_schema_and_matched_budget,method_cost,,,
,,,registry_exactly_seven_deployable_candidates_plus_oracle,,,,,,True,,,gate,,,
,,,versioned_adapter_overlay_binds_all_methods_without_mutating_t652,,,,,,True,,,gate,,,
,,,six_schema_conforming_methods_execute_same_packet_trace,,,,,,True,,,gate,,,
,,,all_common_trace_methods_have_real_decision_hashes,,,,,,True,,,gate,,,
,,,packet_bridge_is_q_then_p_adjacent_and_wire_validated,,,,,,True,,,gate,,,
,,,parameter_window_and_regime_cadence_match_contract,,,,,,True,,,gate,,,
,,,all_eligible_accounting_records_pass_exact_six_cycle_and_budget_contract,,,,,,True,,,gate,,,
,,,standard_rule_has_exhaustive_current_lut_action_equivalence,,,,,,True,,,gate,,,
,,,periodic_feature_frontend_has_exhaustive_product_free_grid_equivalence,,,,,,True,,,gate,,,
,,,joint_and_adaptive_software_rows_do_not_claim_current_rtl_equivalence,,,,,,True,,,gate,,,
,,,prefix_causality_holds_for_every_common_trace_method,,,,,,True,,,gate,,,
,,,route_a_executes_real_hmm_and_candidate_but_is_not_formal_claim,,,,,,True,,,gate,,,
,,,legacy_cnn_checkpoint_really_executes_without_online_labels,,,,,,True,,,gate,,,
,,,legacy_cnn_is_automatically_demoted_on_schema_and_budget,,,,,,True,,,gate,,,
,,,oracle_is_physically_separate_and_never_ranked_deployable,,,,,,True,,,gate,,,
,,,mutation_audit_fails_closed,,,,,,True,,,gate,,,
,,,qualification_metric_rows_are_complete_and_finite,,,,,,True,,,gate,,,
,,,qualification_metrics_are_explicitly_nonformal,,,,,,True,,,gate,,,
