record_type,record_id,family,points,mismatches,value,details
production_chunk,q928:960,square_euclidean,32768,0,c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479,"{""ci_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""cpd_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""mismatches"": 0, ""points"": 32768, ""q_start"": 928, ""q_stop"": 960}"
production_chunk,q960:992,square_euclidean,32768,0,c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479,"{""ci_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""cpd_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""mismatches"": 0, ""points"": 32768, ""q_start"": 960, ""q_stop"": 992}"
production_chunk,q992:1024,square_euclidean,32768,0,c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479,"{""ci_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""cpd_action_sha256"": ""c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479"", ""mismatches"": 0, ""points"": 32768, ""q_start"": 992, ""q_stop"": 1024}"
boundary_chunk,b0:100000,square_euclidean,100000,0,33408,"{""exact_tie_coordinates"": 33408, ""mismatches"": 0, ""points"": 100000, ""start"": 0, ""stop"": 100000}"
boundary_chunk,b100000:200000,square_euclidean,100000,0,33194,"{""exact_tie_coordinates"": 33194, ""mismatches"": 0, ""points"": 100000, ""start"": 100000, ""stop"": 200000}"
boundary_chunk,b200000:300000,square_euclidean,100000,0,33340,"{""exact_tie_coordinates"": 33340, ""mismatches"": 0, ""points"": 100000, ""start"": 200000, ""stop"": 300000}"
boundary_chunk,b300000:400000,square_euclidean,100000,0,33198,"{""exact_tie_coordinates"": 33198, ""mismatches"": 0, ""points"": 100000, ""start"": 300000, ""stop"": 400000}"
boundary_chunk,b400000:500000,square_euclidean,100000,0,33110,"{""exact_tie_coordinates"": 33110, ""mismatches"": 0, ""points"": 100000, ""start"": 400000, ""stop"": 500000}"
boundary_chunk,b500000:600000,square_euclidean,100000,0,33236,"{""exact_tie_coordinates"": 33236, ""mismatches"": 0, ""points"": 100000, ""start"": 500000, ""stop"": 600000}"
boundary_chunk,b600000:700000,square_euclidean,100000,0,33166,"{""exact_tie_coordinates"": 33166, ""mismatches"": 0, ""points"": 100000, ""start"": 600000, ""stop"": 700000}"
boundary_chunk,b700000:800000,square_euclidean,100000,0,33220,"{""exact_tie_coordinates"": 33220, ""mismatches"": 0, ""points"": 100000, ""start"": 700000, ""stop"": 800000}"
boundary_chunk,b800000:900000,square_euclidean,100000,0,33146,"{""exact_tie_coordinates"": 33146, ""mismatches"": 0, ""points"": 100000, ""start"": 800000, ""stop"": 900000}"
