category,task_id,contract_id,implementation_sha256,status,path,sha256,all_required_gates_passed,stored_implementation_sha256,live_implementation_sha256,implementation_hash_matches,lane_id,cutoff,noise_profile,mode,cycle,time_us,state_label,survival,leakage,conditional_bloch_x,conditional_bloch_y,conditional_bloch_z,rho00_real,rho00_imag,rho01_real,rho01_imag,rho10_real,rho10_imag,rho11_real,rho11_imag,ptm_row,ptm_column,value,pair_sum_linearity_residual,minimum_choi_eigenvalue,minimum_survival,maximum_survival,mean_leakage,survival_spread,off_diagonal_pauli_norm,coherent_rotation_norm,nonunital_code_flow_norm,state_dependent_survival_norm,passed_physicality,axis,definition,truncated_signed_area_cycles,truncated_signed_area_us,e_fold_crossing_cycles,e_fold_crossing_us,e_fold_status,horizon_cycles,horizon_us,final_normalized_signal,minimum_normalized_signal,maximum_normalized_signal,revival_step_count,negative_point_count,qec_on_area_cycles,qec_off_area_cycles,qec_on_minus_off_area_cycles,qec_on_to_off_area_ratio,qec_on_e_fold_cycles,qec_off_e_fold_cycles,lower_cutoff,higher_cutoff,terminal_registered_pair,final_ptm_frobenius_difference,final_mean_leakage_absolute_difference,used_as_infinite_cutoff_convergence_claim,gate,passed
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,,,,,,,,,,,,,,,I,X,-0.004019968400569812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,,,,,,,,,,,,,,,I,Y,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,,,,,,,,,,,,,,,I,Z,-0.004018135677811507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,,,,,,,,,,,,,,,X,I,-0.004032112493445076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,,,,,,,,,,,,,,,X,X,0.8885478486820424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,,,,,,,,,,,,,,,X,Y,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,,,,,,,,,,,,,,,X,Z,1.8423061655441653e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,,,,,,,,,,,,,,,Y,I,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,,,,,,,,,,,,,,,Y,X,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,,,,,,,,,,,,,,,Y,Y,0.8886077449921541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,,,,,,,,,,,,,,,Y,Z,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,,,,,,,,,,,,,,,Z,I,-0.0040302742341371545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,,,,,,,,,,,,,,,Z,X,1.842306165530938e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,,,,,,,,,,,,,,,Z,Y,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,,,,,,,,,,,,,,,Z,Z,0.8885478318798882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomography_diagnostic,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,1,10.0,,,,,,,,,,,,,,,,,,3.6129755121218454e-16,1.0288130182922338e-08,0.8846265031990821,0.8926664400002218,0.11135352840034785,0.00803993680113968,2.6054143653467778e-05,9.353089841768582e-17,0.005700968475807044,0.005683798049445595,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_output,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,x_plus,0.7895149764239554,0.2104850235760446,0.9996715221958568,0.0,-0.006082522720147709,0.3923563668209799,0.0,0.39462781913908074,0.0,0.3946278191390807,0.0,0.3971586096029755,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_output,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,x_minus,0.7995674783885761,0.20043252161142389,-0.9994511640094763,0.0,-0.006336256669546533,0.397250606810442,0.0,-0.3995643234897921,0.0,-0.3995643234897921,0.0,0.4023168715781341,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_output,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,y_plus,0.7945412274062658,0.20545877259373424,-0.0062130248002686085,0.999612859754132,-0.006210192252643004,0.394803486815711,2.37509294118882e-17,-0.002468252175355505,-0.3971168142600678,-0.0024682521753554847,0.39711681426006773,0.39973774059055484,-1.744231104130712e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_output,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,y_minus,0.7945412274062658,0.20545877259373424,-0.0062130248002686085,-0.999612859754132,-0.006210192252643004,0.394803486815711,-2.37509294118882e-17,-0.002468252175355505,0.3971168142600678,-0.0024682521753554847,-0.39711681426006773,0.39973774059055484,1.744231104130712e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_output,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,z_plus,0.7895172679157403,0.21048273208425972,-0.00608535563832074,0.0,0.9996713188316588,0.7893875181867183,0.0,-0.00240224667893132,0.0,-0.0024022466789313164,0.0,0.00012974972902197215,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_output,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,z_minus,0.7995651868967915,0.20043481310320854,-0.006339089578463092,0.0,-0.9994510630320074,0.00021945544470378307,0.0,-0.0025342576717796677,0.0,-0.0025342576717796773,0.0,0.7993457314520876,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,,,,,,,,,,,,,,,I,I,0.7945412274062658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,,,,,,,,,,,,,,,I,X,-0.005026250982310354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,,,,,,,,,,,,,,,I,Y,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
