case,detection_wilson_lcb,detection_wilson_ucb,deterministic,effect_ratio,family,metric,point,power_gate_pass,round_count,row_type,stage,successes,trajectory_count,trials,wilson_lcb,wilson_ucb
ab/c8/shared/one_g/IDLE/predictive_cdf_q_sup,,,False,,iq_conditional_distribution,predictive_cdf_q_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c8/shared/one_g/IDLE/paired_proper_score_per_sample,,,False,,likelihood_score_posterior,paired_proper_score_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c8/shared/one_g/IDLE/pairwise_llr_per_sample,,,False,,likelihood_score_posterior,pairwise_llr_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c8/shared/one_g/IDLE/posterior_mean_l1,,,False,,likelihood_score_posterior,posterior_mean_l1,0.12,True,,gate_blueprint,round,,,,1.5,
ab/c8/shared/one_g/X/density_trace_distance,,,False,,physical_state_channel,density_trace_distance,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c8/shared/one_g/X/mean_photon_difference,,,False,,physical_state_channel,mean_photon_difference,0.08,True,,gate_blueprint,round,,,,2.0,
ab/c8/shared/one_g/X/level_probability_l1,,,False,,physical_state_channel,level_probability_l1,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c8/shared/one_g/X/predictive_mean_l2,,,False,,iq_conditional_distribution,predictive_mean_l2,0.12,True,,gate_blueprint,round,,,,1.25,
ab/c8/shared/one_g/X/predictive_covariance_frobenius,,,False,,iq_conditional_distribution,predictive_covariance_frobenius,0.18,True,,gate_blueprint,round,,,,1.25,
ab/c8/shared/one_g/X/predictive_cdf_i_sup,,,False,,iq_conditional_distribution,predictive_cdf_i_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c8/shared/one_g/X/predictive_cdf_q_sup,,,False,,iq_conditional_distribution,predictive_cdf_q_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c8/shared/one_g/X/paired_proper_score_per_sample,,,False,,likelihood_score_posterior,paired_proper_score_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c8/shared/one_g/X/pairwise_llr_per_sample,,,False,,likelihood_score_posterior,pairwise_llr_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c8/shared/one_g/X/posterior_mean_l1,,,False,,likelihood_score_posterior,posterior_mean_l1,0.12,True,,gate_blueprint,round,,,,1.5,
ab/c8/shared/one_g/Z/density_trace_distance,,,False,,physical_state_channel,density_trace_distance,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c8/shared/one_g/Z/mean_photon_difference,,,False,,physical_state_channel,mean_photon_difference,0.08,True,,gate_blueprint,round,,,,2.0,
ab/c8/shared/one_g/Z/level_probability_l1,,,False,,physical_state_channel,level_probability_l1,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c8/shared/one_g/Z/predictive_mean_l2,,,False,,iq_conditional_distribution,predictive_mean_l2,0.12,True,,gate_blueprint,round,,,,1.25,
ab/c8/shared/one_g/Z/predictive_covariance_frobenius,,,False,,iq_conditional_distribution,predictive_covariance_frobenius,0.18,True,,gate_blueprint,round,,,,1.25,
ab/c8/shared/one_g/Z/predictive_cdf_i_sup,,,False,,iq_conditional_distribution,predictive_cdf_i_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c8/shared/one_g/Z/predictive_cdf_q_sup,,,False,,iq_conditional_distribution,predictive_cdf_q_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c8/shared/one_g/Z/paired_proper_score_per_sample,,,False,,likelihood_score_posterior,paired_proper_score_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c8/shared/one_g/Z/pairwise_llr_per_sample,,,False,,likelihood_score_posterior,pairwise_llr_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c8/shared/one_g/Z/posterior_mean_l1,,,False,,likelihood_score_posterior,posterior_mean_l1,0.12,True,,gate_blueprint,round,,,,1.5,
ab/c8/shared/one_g/XZ/density_trace_distance,,,False,,physical_state_channel,density_trace_distance,0.1,True,,gate_blueprint,round,,,,2.0,
