row_type,record_id,split,scenario,seed,threshold,metric,value,detail
calibration_threshold_seed,t0.025-s202607154108,calibration,all_registered_development,202607154108,0.025,absolute_catastrophic_reduction,-0.025716145833333332,"{""absolute_catastrophic_reduction"": -0.025716145833333332, ""avoided_failure_count"": 1665, ""avoided_failure_rate"": 0.016937255859375, ""decisions"": 98304, ""fallback_count"": 19351, ""fallback_precision_for_avoided_failure"": 0.08604206500956023, ""fallback_rate"": 0.19684855143229166, ""gated_failure_count"": 7200, ""gated_failure_rate"": 0.0732421875, ""induced_failure_count"": 4193, ""induced_failure_rate"": 0.042653401692708336, ""net_avoidable_opportunity_fraction"": 0.059590657552083336, ""primary_failure_count"": 4672, ""primary_failure_rate"": 0.047526041666666664, ""relative_catastrophic_reduction"": -0.541095890410959, ""seed"": 202607154108, ""selected_without_benefit_count"": 17686, ""selected_without_benefit_rate"": 0.17991129557291666, ""static_failure_count"": 7200, ""static_failure_rate"": 0.0732421875, ""threshold"": 0.025, ""unnecessary_fallback_count"": 15331, ""unnecessary_fallback_rate"": 0.15595499674479166}"
calibration_threshold_seed,t0.05-s202607154101,calibration,all_registered_development,202607154101,0.05,absolute_catastrophic_reduction,-0.027231852213541668,"{""absolute_catastrophic_reduction"": -0.027231852213541668, ""avoided_failure_count"": 1655, ""avoided_failure_rate"": 0.016835530598958332, ""decisions"": 98304, ""fallback_count"": 14769, ""fallback_precision_for_avoided_failure"": 0.11205904258920713, ""fallback_rate"": 0.150238037109375, ""gated_failure_count"": 7372, ""gated_failure_rate"": 0.07499186197916667, ""induced_failure_count"": 4332, ""induced_failure_rate"": 0.0440673828125, ""net_avoidable_opportunity_fraction"": 0.060902913411458336, ""primary_failure_count"": 4695, ""primary_failure_rate"": 0.047760009765625, ""relative_catastrophic_reduction"": -0.5701810436634718, ""seed"": 202607154101, ""selected_without_benefit_count"": 13114, ""selected_without_benefit_rate"": 0.13340250651041666, ""static_failure_count"": 7372, ""static_failure_rate"": 0.07499186197916667, ""threshold"": 0.05, ""unnecessary_fallback_count"": 10955, ""unnecessary_fallback_rate"": 0.11144002278645833}"
calibration_threshold_seed,t0.05-s202607154102,calibration,all_registered_development,202607154102,0.05,absolute_catastrophic_reduction,-0.022237141927083332,"{""absolute_catastrophic_reduction"": -0.022237141927083332, ""avoided_failure_count"": 2282, ""avoided_failure_rate"": 0.023213704427083332, ""decisions"": 98304, ""fallback_count"": 15676, ""fallback_precision_for_avoided_failure"": 0.14557285021689206, ""fallback_rate"": 0.15946451822916666, ""gated_failure_count"": 7533, ""gated_failure_rate"": 0.076629638671875, ""induced_failure_count"": 4468, ""induced_failure_rate"": 0.045450846354166664, ""net_avoidable_opportunity_fraction"": 0.06866455078125, ""primary_failure_count"": 5347, ""primary_failure_rate"": 0.054392496744791664, ""relative_catastrophic_reduction"": -0.4088273798391621, ""seed"": 202607154102, ""selected_without_benefit_count"": 13394, ""selected_without_benefit_rate"": 0.13625081380208334, ""static_failure_count"": 7533, ""static_failure_rate"": 0.076629638671875, ""threshold"": 0.05, ""unnecessary_fallback_count"": 11236, ""unnecessary_fallback_rate"": 0.11429850260416667}"
calibration_threshold_seed,t0.05-s202607154103,calibration,all_registered_development,202607154103,0.05,absolute_catastrophic_reduction,-0.020975748697916668,"{""absolute_catastrophic_reduction"": -0.020975748697916668, ""avoided_failure_count"": 2205, ""avoided_failure_rate"": 0.022430419921875, ""decisions"": 98304, ""fallback_count"": 15372, ""fallback_precision_for_avoided_failure"": 0.14344262295081966, ""fallback_rate"": 0.1563720703125, ""gated_failure_count"": 7305, ""gated_failure_rate"": 0.074310302734375, ""induced_failure_count"": 4267, ""induced_failure_rate"": 0.043406168619791664, ""net_avoidable_opportunity_fraction"": 0.06583658854166667, ""primary_failure_count"": 5243, ""primary_failure_rate"": 0.053334554036458336, ""relative_catastrophic_reduction"": -0.3932862864772077, ""seed"": 202607154103, ""selected_without_benefit_count"": 13167, ""selected_without_benefit_rate"": 0.133941650390625, ""static_failure_count"": 7305, ""static_failure_rate"": 0.074310302734375, ""threshold"": 0.05, ""unnecessary_fallback_count"": 11015, ""unnecessary_fallback_rate"": 0.11205037434895833}"
calibration_threshold_seed,t0.05-s202607154104,calibration,all_registered_development,202607154104,0.05,absolute_catastrophic_reduction,-0.032511393229166664,"{""absolute_catastrophic_reduction"": -0.032511393229166664, ""avoided_failure_count"": 1249, ""avoided_failure_rate"": 0.012705485026041666, ""decisions"": 98304, ""fallback_count"": 15162, ""fallback_precision_for_avoided_failure"": 0.08237699511937739, ""fallback_rate"": 0.15423583984375, ""gated_failure_count"": 7397, ""gated_failure_rate"": 0.07524617513020833, ""induced_failure_count"": 4445, ""induced_failure_rate"": 0.045216878255208336, ""net_avoidable_opportunity_fraction"": 0.05792236328125, ""primary_failure_count"": 4201, ""primary_failure_rate"": 0.042734781901041664, ""relative_catastrophic_reduction"": -0.7607712449416806, ""seed"": 202607154104, ""selected_without_benefit_count"": 13913, ""selected_without_benefit_rate"": 0.14153035481770834, ""static_failure_count"": 7397, ""static_failure_rate"": 0.07524617513020833, ""threshold"": 0.05, ""unnecessary_fallback_count"": 11824, ""unnecessary_fallback_rate"": 0.12027994791666667}"
calibration_threshold_seed,t0.05-s202607154105,calibration,all_registered_development,202607154105,0.05,absolute_catastrophic_reduction,-0.01983642578125,"{""absolute_catastrophic_reduction"": -0.01983642578125, ""avoided_failure_count"": 2272, ""avoided_failure_rate"": 0.023111979166666668, ""decisions"": 98304, ""fallback_count"": 15407, ""fallback_precision_for_avoided_failure"": 0.14746543778801843, ""fallback_rate"": 0.15672810872395834, ""gated_failure_count"": 7273, ""gated_failure_rate"": 0.07398478190104167, ""induced_failure_count"": 4222, ""induced_failure_rate"": 0.042948404947916664, ""net_avoidable_opportunity_fraction"": 0.06606038411458333, ""primary_failure_count"": 5323, ""primary_failure_rate"": 0.054148356119791664, ""relative_catastrophic_reduction"": -0.3663347736238963, ""seed"": 202607154105, ""selected_without_benefit_count"": 13135, ""selected_without_benefit_rate"": 0.13361612955729166, ""static_failure_count"": 7273, ""static_failure_rate"": 0.07398478190104167, ""threshold"": 0.05, ""unnecessary_fallback_count"": 11034, ""unnecessary_fallback_rate"": 0.11224365234375}"
calibration_threshold_seed,t0.05-s202607154106,calibration,all_registered_development,202607154106,0.05,absolute_catastrophic_reduction,-0.018910725911458332,"{""absolute_catastrophic_reduction"": -0.018910725911458332, ""avoided_failure_count"": 2401, ""avoided_failure_rate"": 0.024424235026041668, ""decisions"": 98304, ""fallback_count"": 15999, ""fallback_precision_for_avoided_failure"": 0.15007187949246828, ""fallback_rate"": 0.162750244140625, ""gated_failure_count"": 7413, ""gated_failure_rate"": 0.075408935546875, ""induced_failure_count"": 4260, ""induced_failure_rate"": 0.0433349609375, ""net_avoidable_opportunity_fraction"": 0.06775919596354167, ""primary_failure_count"": 5554, ""primary_failure_rate"": 0.056498209635416664, ""relative_catastrophic_reduction"": -0.3347137198415556, ""seed"": 202607154106, ""selected_without_benefit_count"": 13598, ""selected_without_benefit_rate"": 0.13832600911458334, ""static_failure_count"": 7413, ""static_failure_rate"": 0.075408935546875, ""threshold"": 0.05, ""unnecessary_fallback_count"": 11343, ""unnecessary_fallback_rate"": 0.115386962890625}"
calibration_threshold_seed,t0.05-s202607154107,calibration,all_registered_development,202607154107,0.05,absolute_catastrophic_reduction,-0.028727213541666668,"{""absolute_catastrophic_reduction"": -0.028727213541666668, ""avoided_failure_count"": 1593, ""avoided_failure_rate"": 0.016204833984375, ""decisions"": 98304, ""fallback_count"": 14874, ""fallback_precision_for_avoided_failure"": 0.10709963695038321, ""fallback_rate"": 0.15130615234375, ""gated_failure_count"": 7385, ""gated_failure_rate"": 0.07512410481770833, ""induced_failure_count"": 4417, ""induced_failure_rate"": 0.044932047526041664, ""net_avoidable_opportunity_fraction"": 0.061136881510416664, ""primary_failure_count"": 4561, ""primary_failure_rate"": 0.046396891276041664, ""relative_catastrophic_reduction"": -0.6191624643718483, ""seed"": 202607154107, ""selected_without_benefit_count"": 13281, ""selected_without_benefit_rate"": 0.135101318359375, ""static_failure_count"": 7385, ""static_failure_rate"": 0.07512410481770833, ""threshold"": 0.05, ""unnecessary_fallback_count"": 11140, ""unnecessary_fallback_rate"": 0.11332194010416667}"
calibration_threshold_seed,t0.05-s202607154108,calibration,all_registered_development,202607154108,0.05,absolute_catastrophic_reduction,-0.025716145833333332,"{""absolute_catastrophic_reduction"": -0.025716145833333332, ""avoided_failure_count"": 1665, ""avoided_failure_rate"": 0.016937255859375, ""decisions"": 98304, ""fallback_count"": 15469, ""fallback_precision_for_avoided_failure"": 0.10763462408688344, ""fallback_rate"": 0.15735880533854166, ""gated_failure_count"": 7200, ""gated_failure_rate"": 0.0732421875, ""induced_failure_count"": 4193, ""induced_failure_rate"": 0.042653401692708336, ""net_avoidable_opportunity_fraction"": 0.059590657552083336, ""primary_failure_count"": 4672, ""primary_failure_rate"": 0.047526041666666664, ""relative_catastrophic_reduction"": -0.541095890410959, ""seed"": 202607154108, ""selected_without_benefit_count"": 13804, ""selected_without_benefit_rate"": 0.14042154947916666, ""static_failure_count"": 7200, ""static_failure_rate"": 0.0732421875, ""threshold"": 0.05, ""unnecessary_fallback_count"": 11658, ""unnecessary_fallback_rate"": 0.11859130859375}"
calibration_threshold_seed,t0.075-s202607154101,calibration,all_registered_development,202607154101,0.075,absolute_catastrophic_reduction,-0.027231852213541668,"{""absolute_catastrophic_reduction"": -0.027231852213541668, ""avoided_failure_count"": 1655, ""avoided_failure_rate"": 0.016835530598958332, ""decisions"": 98304, ""fallback_count"": 12867, ""fallback_precision_for_avoided_failure"": 0.1286236107872853, ""fallback_rate"": 0.130889892578125, ""gated_failure_count"": 7372, ""gated_failure_rate"": 0.07499186197916667, ""induced_failure_count"": 4332, ""induced_failure_rate"": 0.0440673828125, ""net_avoidable_opportunity_fraction"": 0.060902913411458336, ""primary_failure_count"": 4695, ""primary_failure_rate"": 0.047760009765625, ""relative_catastrophic_reduction"": -0.5701810436634718, ""seed"": 202607154101, ""selected_without_benefit_count"": 11212, ""selected_without_benefit_rate"": 0.11405436197916667, ""static_failure_count"": 7372, ""static_failure_rate"": 0.07499186197916667, ""threshold"": 0.075, ""unnecessary_fallback_count"": 9208, ""unnecessary_fallback_rate"": 0.09366861979166667}"
