category,task_id,contract_id,status,implementation_sha256,parent_task,path,sha256,all_gates_passed,stored_implementation_sha256,live_implementation_sha256,implementation_hash_matches,source_data_path,source_data_sha256,source_data_rows,source_lane_ids,source_cutoffs,reference_horizon_us,reference_full_cycles,measurements_per_full_cycle,resets_per_full_cycle,active_gates_per_full_cycle,stored_control_scalars,persistent_state_scalars,analytic_macs_per_half_cycle,matched_controller_classical_latency_us,resource_scope,row_id,lane_role,cutoff,noise_profile,horizon_us,full_cycles,half_cycles,measurement_events,reset_events,active_gate_applications,postselection_applied,postselection_acceptance_fraction,postselection_rejection_fraction,code_space_survival_is_acceptance,projector_delta,equivalent_squeezing_db,squeezing_convention,target_board_core_latency_us,target_board_transport_latency_us,target_board_end_to_end_latency_us,active_pulse_or_gate_count,active_pulse_duration_us,active_pulse_energy,passive_measurement_events,passive_reset_events,passive_active_gate_applications,scaled_reference_matches_channel_events,event_count_provenance,final_active_average_fidelity,final_passive_average_fidelity,final_average_fidelity_advantage,final_active_code_space_survival,final_passive_code_space_survival,sustained_boundary_time_us,cumulative_payback_time_us,achieved_logical_error_rate,logical_error_rate_scope,full_cost_complete,full_cost_operational_boundary_qualified,target_hardware_measured,target_survival,training_threshold,acceptance_fraction,rejection_fraction,raw_error_rate,conditional_error_rate,accepted_failures_per_input,break_even_rejection_penalty,cost_definition,conditional_metric_online_eligible,truth_upper_conditional_error_rate,truth_upper_deployable,online_correction_eligible,primary_metric_eligible,achieved_average_fidelity,conditional_error_scope,classical_latency_us,cross_lane_cost_aggregate_eligible,ci_low,ci_high,rejection_penalty,total_cost,cost_minus_raw,campaign_cycles,scenario_count,run_count,fallback_cycles,fallback_rate,reset_request_cycles,reset_request_rate,unsafe_action_cycles,observed_unsafe_action_rate,undefined_action_cycles,observed_undefined_action_rate,statistical_population_upper_bound,upper_bound_reason,blocking_fault_with_correction_count,frame_out_of_range_count,claim_scope,joined_to_online_channel_cost,joined_to_postselection_cost,device_population_rate,field,value,evidence,gate,passed
postselection_summary,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.950,offline_postselection_diagnostic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.04931779639968714,0.9495887756347656,0.050411224365234375,0.013785044352213543,0.00296571975246498,0.0028162141886190605,0.2175870612489831,accepted_failures_per_input + rejection_penalty * rejection_fraction,False,0.0,False,False,False,,"synthetic wrapped-Gaussian decoder decision error, not CPTNI F_avg or physical-memory LER",,False,0.010667332486831995,0.010971316712665128,,,,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,0.013785044352213543,,,,,,,,,,,,,,,,0.0,0.0028162141886190605,-0.010968830163594482,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,0.013785044352213543,,,,,,,,,,,,,,,,0.25,0.015419020279927654,0.0016339759277141114,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,0.013785044352213543,,,,,,,,,,,,,,,,0.5,0.02802182637123625,0.014236782019022707,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,0.013785044352213543,,,,,,,,,,,,,,,,1.0,0.05322743855385344,0.03944239420163989,,,,,,,,,,,,,,,,,,,,,,,,
postselection_summary,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.900,offline_postselection_diagnostic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.010223105775464814,0.8991082509358723,0.10089174906412768,0.013785044352213543,0.0012424775303850107,0.0011171217991715891,0.12555954942351244,accepted_failures_per_input + rejection_penalty * rejection_fraction,False,0.0,False,False,False,,"synthetic wrapped-Gaussian decoder decision error, not CPTNI F_avg or physical-memory LER",,False,0.012358384437498135,0.012726749206158926,,,,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,0.013785044352213543,,,,,,,,,,,,,,,,0.0,0.0011171217991715891,-0.012667922553041954,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,0.013785044352213543,,,,,,,,,,,,,,,,0.25,0.026340059065203508,0.012555014712989965,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,0.013785044352213543,,,,,,,,,,,,,,,,0.5,0.05156299633123543,0.03777795197902188,,,,,,,,,,,,,,,,,,,,,,,,
postselection_penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,postselection_target_0.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,0.013785044352213543,,,,,,,,,,,,,,,,1.0,0.10200887086329927,0.08822382651108572,,,,,,,,,,,,,,,,,,,,,,,,
