backend,ancilla,action,seed,sample_count,log_evidence_abs_error,posterior_l1_error,integrated_mean_abs_error
backend_b,g,IDLE,1031001,8,3.552713678800501e-15,3.851859890063666e-34,2.220446049250313e-16
backend_b,g,IDLE,1031002,8,0.0,4.115076836358213e-37,1.1102230246251565e-16
backend_b,g,IDLE,1031003,8,8.881784197001252e-16,3.3306690738754775e-16,0.0
backend_b,g,IDLE,1031004,8,1.7763568394002505e-15,4.766264492677287e-40,5.551115123125783e-17
backend_b,g,IDLE,1031005,8,0.0,3.330669073875487e-16,0.0
backend_b,g,IDLE,1031006,8,0.0,1.1102230246251634e-16,0.0
backend_b,g,IDLE,1031007,8,0.0,6.661338147767095e-16,0.0
backend_b,g,X,1031000,8,0.0,2.1041348879718946e-36,0.0
backend_b,g,X,1031001,8,3.552713678800501e-15,4.622231866633062e-33,2.220446049250313e-16
backend_b,g,X,1031002,8,0.0,2.58666154366002e-37,1.1102230246251565e-16
backend_b,g,X,1031003,8,8.881784197001252e-16,3.3306690738755406e-16,0.0
backend_b,g,X,1031004,8,1.7763568394002505e-15,3.965114134653502e-40,5.551115123125783e-17
backend_b,g,X,1031005,8,0.0,3.3306690738754958e-16,0.0
backend_b,g,X,1031006,8,0.0,5.053640174473887e-31,0.0
backend_b,g,X,1031007,8,1.7763568394002505e-15,7.771561172383164e-16,0.0
backend_b,g,RESET,1031000,8,0.0,5.289724578700294e-37,0.0
backend_b,g,RESET,1031001,8,3.552713678800501e-15,2.5037089277440443e-33,2.220446049250313e-16
backend_b,g,RESET,1031002,8,0.0,7.4057435538468835e-37,1.1102230246251565e-16
backend_b,g,RESET,1031003,8,0.0,4.440892098500772e-16,0.0
backend_b,g,RESET,1031004,8,1.7763568394002505e-15,1.6099237796934958e-40,5.551115123125783e-17
backend_b,g,RESET,1031005,8,1.7763568394002505e-15,4.440892098500652e-16,0.0
backend_b,g,RESET,1031006,8,0.0,5.423418723494901e-31,0.0
backend_b,g,RESET,1031007,8,0.0,7.771561172383669e-16,0.0
backend_b,e,IDLE,1031000,8,1.7763568394002505e-15,1.125859238177131e-39,1.1102230246251565e-16
backend_b,e,IDLE,1031001,8,3.552713678800501e-15,3.330669073876227e-16,0.0
backend_b,e,IDLE,1031002,8,1.7763568394002505e-15,4.477825324266725e-35,0.0
backend_b,e,IDLE,1031003,8,0.0,1.656299752208896e-32,0.0
backend_b,e,IDLE,1031004,8,1.7763568394002505e-15,9.4039548065783e-36,5.551115123125783e-17
backend_b,e,IDLE,1031005,8,0.0,1.577721810901201e-30,0.0
backend_b,e,IDLE,1031006,8,0.0,8.88178419700134e-16,0.0
backend_b,e,IDLE,1031007,8,1.7763568394002505e-15,4.2598488881975533e-29,0.0
backend_b,e,X,1031000,8,1.7763568394002505e-15,1.4244142837923193e-39,1.1102230246251565e-16
backend_b,e,X,1031001,8,0.0,1.1102230246279333e-16,0.0
backend_b,e,X,1031002,8,1.7763568394002505e-15,9.63126602666856e-35,0.0
backend_b,e,X,1031003,8,0.0,1.3866695600361615e-32,0.0
backend_b,e,X,1031004,8,1.7763568394002505e-15,1.5422485882788412e-35,5.551115123125783e-17
backend_b,e,X,1031005,8,0.0,5.551115123125893e-16,0.0
backend_b,e,X,1031006,8,0.0,3.3306690738759587e-16,0.0
backend_b,e,X,1031007,8,1.7763568394002505e-15,5.551115123127218e-16,0.0
backend_b,e,RESET,1031000,8,1.7763568394002505e-15,1.9762119878802884e-39,1.1102230246251565e-16
backend_b,e,RESET,1031001,8,3.552713678800501e-15,5.551115123129064e-16,0.0
backend_b,e,RESET,1031002,8,1.7763568394002505e-15,1.2792905019998955e-34,0.0
backend_b,e,RESET,1031003,8,0.0,1.2325951644537935e-32,0.0
backend_b,e,RESET,1031004,8,1.7763568394002505e-15,2.6519152554550806e-35,5.551115123125783e-17
backend_b,e,RESET,1031005,8,0.0,1.1102230246253064e-16,0.0
backend_b,e,RESET,1031006,8,0.0,1.5543122344752696e-15,0.0
backend_b,e,RESET,1031007,8,1.7763568394002505e-15,3.330669073877016e-16,0.0
backend_b,f,IDLE,1031000,8,1.7763568394002505e-15,5.551115125387983e-16,1.3877787807814457e-17
backend_b,f,IDLE,1031001,8,0.0,3.467661315151715e-33,0.0
backend_b,f,IDLE,1031002,8,0.0,1.110223024627383e-16,1.3877787807814457e-17
backend_b,f,IDLE,1031003,8,0.0,1.464172253497225e-32,0.0
backend_b,f,IDLE,1031004,8,1.7763568394002505e-15,1.1102230274048736e-16,1.1102230246251565e-16
backend_b,f,IDLE,1031005,8,0.0,5.341446330136474e-35,2.220446049250313e-16
backend_b,f,IDLE,1031006,8,0.0,7.316276839517917e-35,1.3877787807814457e-17
backend_b,f,IDLE,1031007,8,1.7763568394002505e-15,4.0532514584291e-36,2.220446049250313e-16
backend_b,f,X,1031000,8,1.7763568394002505e-15,6.661338148397837e-16,1.3877787807814457e-17
backend_b,f,X,1031001,8,0.0,1.9262708377489743e-33,0.0
backend_b,f,X,1031002,8,0.0,6.66133814775303e-16,1.3877787807814457e-17
backend_b,f,X,1031003,8,0.0,1.040533493415679e-32,0.0
backend_b,f,X,1031004,8,1.7763568394002505e-15,5.551115123191211e-16,1.1102230246251565e-16
backend_b,f,X,1031005,8,0.0,5.228598872457535e-35,2.220446049250313e-16
backend_b,f,X,1031006,8,0.0,1.3127920909983307e-34,1.3877787807814457e-17
backend_b,f,X,1031007,8,1.7763568394002505e-15,3.0144083258899035e-36,2.220446049250313e-16
backend_b,f,RESET,1031000,8,1.7763568394002505e-15,2.220446051060086e-16,1.3877787807814457e-17
backend_b,f,RESET,1031001,8,0.0,7.717120413148317e-34,0.0
backend_b,f,RESET,1031002,8,1.7763568394002505e-15,7.771561172378596e-16,1.3877787807814457e-17
backend_b,f,RESET,1031003,8,0.0,1.4643274187515334e-32,0.0
backend_b,f,RESET,1031004,8,1.7763568394002505e-15,1.110223025595976e-16,1.1102230246251565e-16
backend_b,f,RESET,1031005,8,0.0,6.46992090692587e-35,2.220446049250313e-16
backend_b,f,RESET,1031006,8,0.0,1.7585395488301421e-34,1.3877787807814457e-17
