scenario_id,base_evaluation_seed,evaluation_seed,target_survival,score_threshold,score_auc,trace_sha256,threshold,total_samples,accepted_samples,rejected_samples,survival_fraction,rejection_fraction,raw_error_rate,conditional_error_rate,accepted_failures_per_input,rejected_failure_capture_fraction,rejected_error_rate,truth_upper_conditional_error_rate,truth_upper_accepted_failures_per_input,random_rejection_expected_conditional_error_rate,random_rejection_expected_accepted_failures_per_input,break_even_rejection_penalty,total_cost_penalty_0.00,total_cost_penalty_0.25,total_cost_penalty_0.50,total_cost_penalty_1.00,raw_minus_conditional_error_rate
variance_correlation_ramp,20261035,20361035,0.5,6.879024060191252e-05,0.9689541030547006,a4ea5ebe82591e6fa4910d359f019b2b415362805f9d79bd089988832a96eedd,6.879024060191252e-05,49152,27228,21924,0.553955078125,0.446044921875,0.012003580729166666,0.00011018069634200089,6.103515625e-05,0.9949152542372881,0.026774311257069878,0.0,0.0,0.012003580729166666,0.006649444500605265,0.026774311257069878,6.103515625e-05,0.111572265625,0.22308349609375,0.44610595703125,0.011893400032824665
variance_correlation_ramp,20261036,20361036,0.995,0.4116404297684926,0.9720645240412753,9f364988b274f2ccd85bb293d4c73e45252cb129a4838d3036ab75dc0fa9664f,0.4116404297684926,49152,48935,217,0.9955851236979166,0.004414876302083333,0.01214599609375,0.009931541841217943,0.0098876953125,0.18592964824120603,0.511520737327189,0.007765403085725963,0.007731119791666667,0.01214599609375,0.012092373023430506,0.511520737327189,0.0098876953125,0.010991414388020834,0.012095133463541666,0.014302571614583332,0.002214454252532057
variance_correlation_ramp,20261036,20361036,0.99,0.3281971312781853,0.9720645240412753,9f364988b274f2ccd85bb293d4c73e45252cb129a4838d3036ab75dc0fa9664f,0.3281971312781853,49152,48743,409,0.9916788736979166,0.008321126302083334,0.01214599609375,0.008431979976612027,0.00836181640625,0.31155778894472363,0.4547677261613692,0.003856964076893092,0.0038248697916666665,0.01214599609375,0.012044927726189295,0.4547677261613692,0.00836181640625,0.010442097981770834,0.012522379557291668,0.016682942708333336,0.0037140161171379735
variance_correlation_ramp,20261036,20361036,0.98,0.19926100551297787,0.9720645240412753,9f364988b274f2ccd85bb293d4c73e45252cb129a4838d3036ab75dc0fa9664f,0.19926100551297787,49152,48334,818,0.9833577473958334,0.016642252604166668,0.01214599609375,0.006082674721727977,0.0059814453125,0.507537688442211,0.3704156479217604,0.0,0.0,0.01214599609375,0.011943859358628591,0.3704156479217604,0.0059814453125,0.010142008463541668,0.014302571614583334,0.022623697916666668,0.006063321372022023
variance_correlation_ramp,20261036,20361036,0.95,0.04931779639968714,0.9720645240412753,9f364988b274f2ccd85bb293d4c73e45252cb129a4838d3036ab75dc0fa9664f,0.04931779639968714,49152,47230,1922,0.9608968098958334,0.039103190104166664,0.01214599609375,0.0028371797586279907,0.0027262369791666665,0.7755443886097152,0.240894901144641,0.0,0.0,0.01214599609375,0.011671048899491629,0.240894901144641,0.0027262369791666665,0.012502034505208332,0.02227783203125,0.04182942708333333,0.00930881633512201
variance_correlation_ramp,20261036,20361036,0.9,0.010223105775464814,0.9720645240412753,9f364988b274f2ccd85bb293d4c73e45252cb129a4838d3036ab75dc0fa9664f,0.010223105775464814,49152,45321,3831,0.92205810546875,0.07794189453125,0.01214599609375,0.0013018247611482536,0.0012003580729166667,0.9011725293132329,0.14043330723048814,0.0,0.0,0.01214599609375,0.011199314147233963,0.14043330723048814,0.0012003580729166667,0.020685831705729168,0.040171305338541664,0.07914225260416667,0.010844171332601746
variance_correlation_ramp,20261036,20361036,0.8,0.001548739715154679,0.9720645240412753,9f364988b274f2ccd85bb293d4c73e45252cb129a4838d3036ab75dc0fa9664f,0.001548739715154679,49152,41247,7905,0.83917236328125,0.16082763671875,0.01214599609375,0.0004848837491211482,0.0004069010416666667,0.966499162479062,0.07299177735610374,0.0,0.0,0.01214599609375,0.010192584246397018,0.07299177735610374,0.0004069010416666667,0.040613810221354164,0.08082071940104167,0.16123453776041666,0.011661112344628851
variance_correlation_ramp,20261036,20361036,0.7,0.0004416617253509836,0.9720645240412753,9f364988b274f2ccd85bb293d4c73e45252cb129a4838d3036ab75dc0fa9664f,0.0004416617253509836,49152,36997,12155,0.7527058919270834,0.24729410807291666,0.01214599609375,0.0002432629672676163,0.00018310546875,0.9849246231155779,0.0483751542575072,0.0,0.0,0.01214599609375,0.009142362823088964,0.0483751542575072,0.00018310546875,0.062006632486979164,0.12383015950520833,0.24747721354166666,0.011902733126482384
variance_correlation_ramp,20261036,20361036,0.5,6.879024060191252e-05,0.9720645240412753,9f364988b274f2ccd85bb293d4c73e45252cb129a4838d3036ab75dc0fa9664f,6.879024060191252e-05,49152,27494,21658,0.5593668619791666,0.4406331380208333,0.01214599609375,3.637157197934095e-05,2.0345052083333332e-05,0.998324958123953,0.02751869978760735,0.0,0.0,0.01214599609375,0.006794067720572153,0.02751869978760735,2.0345052083333332e-05,0.11017862955729166,0.2203369140625,0.44065348307291663,0.012109624521770659
variance_correlation_ramp,20261037,20361037,0.995,0.4116404297684926,0.9742010464497971,9e8727c35ae819f63b4ea97757d40acb90501bbf62aecbc54051f174b8cebc65,0.4116404297684926,49152,48965,187,0.9961954752604166,0.0038045247395833335,0.01068115234375,0.00878178290615746,0.008748372395833334,0.18095238095238095,0.5080213903743316,0.0069028898192586546,0.006876627604166667,0.01068115234375,0.010640515635410944,0.5080213903743316,0.008748372395833334,0.009699503580729168,0.010650634765625,0.012552897135416668,0.00189936943759254
variance_correlation_ramp,20261037,20361037,0.99,0.3281971312781853,0.9742010464497971,9e8727c35ae819f63b4ea97757d40acb90501bbf62aecbc54051f174b8cebc65,0.3281971312781853,49152,48773,379,0.9922892252604166,0.007710774739583333,0.01068115234375,0.007360629856683001,0.007303873697916667,0.3161904761904762,0.43799472295514513,0.002993459496032641,0.0029703776041666665,0.01068115234375,0.01059879238406817,0.43799472295514513,0.007303873697916667,0.0092315673828125,0.011159261067708334,0.0150146484375,0.003320522487066999
variance_correlation_ramp,20261037,20361037,0.98,0.19926100551297787,0.9742010464497971,9e8727c35ae819f63b4ea97757d40acb90501bbf62aecbc54051f174b8cebc65,0.19926100551297787,49152,48421,731,0.9851277669270834,0.014872233072916666,0.01068115234375,0.005266310072076165,0.00518798828125,0.5142857142857142,0.3693570451436389,0.0,0.0,0.01068115234375,0.01052229975660642,0.3693570451436389,0.00518798828125,0.008906046549479166,0.012624104817708332,0.020060221354166664,0.005414842271673835
variance_correlation_ramp,20261037,20361037,0.95,0.04931779639968714,0.9742010464497971,9e8727c35ae819f63b4ea97757d40acb90501bbf62aecbc54051f174b8cebc65,0.04931779639968714,49152,47271,1881,0.96173095703125,0.03826904296875,0.01068115234375,0.0024962450551077827,0.0024007161458333335,0.7752380952380953,0.21637426900584794,0.0,0.0,0.01068115234375,0.010272394865751266,0.21637426900584794,0.0024007161458333335,0.011967976888020834,0.021535237630208332,0.040669759114583336,0.008184907288642218
variance_correlation_ramp,20261037,20361037,0.9,0.010223105775464814,0.9742010464497971,9e8727c35ae819f63b4ea97757d40acb90501bbf62aecbc54051f174b8cebc65,0.010223105775464814,49152,45287,3865,0.9213663736979166,0.07863362630208333,0.01068115234375,0.0011703137765804756,0.0010782877604166667,0.8990476190476191,0.1221216041397154,0.0,0.0,0.01068115234375,0.00984125460187594,0.1221216041397154,0.0010782877604166667,0.0207366943359375,0.04039510091145833,0.0797119140625,0.009510838567169524
variance_correlation_ramp,20261037,20361037,0.8,0.001548739715154679,0.9742010464497971,9e8727c35ae819f63b4ea97757d40acb90501bbf62aecbc54051f174b8cebc65,0.001548739715154679,49152,41082,8070,0.8358154296875,0.1641845703125,0.01068115234375,0.0003407818509322818,0.0002848307291666667,0.9733333333333334,0.06332094175960347,0.0,0.0,0.01068115234375,0.008927471935749054,0.06332094175960347,0.0002848307291666667,0.041330973307291664,0.08237711588541667,0.16446940104166666,0.010340370492817719
variance_correlation_ramp,20261037,20361037,0.7,0.0004416617253509836,0.9742010464497971,9e8727c35ae819f63b4ea97757d40acb90501bbf62aecbc54051f174b8cebc65,0.0004416617253509836,49152,36834,12318,0.7493896484375,0.2506103515625,0.01068115234375,8.144648965629581e-05,6.103515625e-05,0.9942857142857143,0.042377009254749146,0.0,0.0,0.01068115234375,0.008004344999790192,0.042377009254749146,6.103515625e-05,0.062713623046875,0.1253662109375,0.25067138671875,0.010599705854093705
variance_correlation_ramp,20261037,20361037,0.5,6.879024060191252e-05,0.9742010464497971,9e8727c35ae819f63b4ea97757d40acb90501bbf62aecbc54051f174b8cebc65,6.879024060191252e-05,49152,27365,21787,0.5567423502604166,0.4432576497395833,0.01068115234375,3.654302941713868e-05,2.0345052083333332e-05,0.9980952380952381,0.024051039610777068,0.0,0.0,0.01068115234375,0.005946649859348932,0.024051039610777068,2.0345052083333332e-05,0.11083475748697916,0.221649169921875,0.44327799479166663,0.010644609314332861
variance_correlation_ramp,20261038,20361038,0.995,0.4116404297684926,0.9702769590699183,c686b5e121806b7e6b87f235884d0ee48858ed76859e37ae8dd1a3891357fc59,0.4116404297684926,49152,48975,177,0.99639892578125,0.00360107421875,0.011067708333333334,0.009760081674323634,0.009724934895833334,0.1213235294117647,0.3728813559322034,0.007493619193466054,0.007466634114583333,0.011067708333333334,0.011027852694193523,0.3728813559322034,0.009724934895833334,0.010625203450520834,0.011525472005208334,0.013326009114583334,0.0013076266590097002
variance_correlation_ramp,20261038,20361038,0.99,0.3281971312781853,0.9702769590699183,c686b5e121806b7e6b87f235884d0ee48858ed76859e37ae8dd1a3891357fc59,0.3281971312781853,49152,48768,384,0.9921875,0.0078125,0.011067708333333334,0.008079068241469816,0.008015950520833334,0.2757352941176471,0.390625,0.0032808398950131233,0.0032552083333333335,0.011067708333333334,0.010981241861979168,0.390625,0.008015950520833334,0.009969075520833334,0.011922200520833334,0.015828450520833336,0.0029886400918635175
variance_correlation_ramp,20261038,20361038,0.98,0.19926100551297787,0.9702769590699183,c686b5e121806b7e6b87f235884d0ee48858ed76859e37ae8dd1a3891357fc59,0.19926100551297787,49152,48404,748,0.9847819010416666,0.015218098958333334,0.011067708333333334,0.0059499214940913975,0.005859375,0.47058823529411764,0.3422459893048128,0.0,0.0,0.011067708333333334,0.010899278852674697,0.3422459893048128,0.005859375,0.009663899739583334,0.013468424479166668,0.021077473958333336,0.005117786839241936
variance_correlation_ramp,20261038,20361038,0.95,0.04931779639968714,0.9702769590699183,c686b5e121806b7e6b87f235884d0ee48858ed76859e37ae8dd1a3891357fc59,0.04931779639968714,49152,47228,1924,0.9608561197916666,0.039143880208333336,0.011067708333333334,0.0028584737867366817,0.00274658203125,0.7518382352941176,0.21257796257796258,0.0,0.0,0.011067708333333334,0.010634475284152562,0.21257796257796258,0.00274658203125,0.012532552083333334,0.022318522135416668,0.041890462239583336,0.008209234546596653
