strategy,root_seed,checkpoint_epoch,selection_split,selection_score,trajectory_count,eligible_within_agent,selected_within_agent,selected_across_agents,test_or_formal_used,checkpoint_tensor_sha256,training_lineage_sha256,status
mf,910019,280,validation_only,0.3873447617096575,64,True,False,False,False,162ad331190f88a29aae271a8416f50198ab85693765e3c426bcfe05d1a09160,a616185fa5393d7b25b874c264cf087e5d9ee930fb7fa086ead1ae9e060c225a,COMPLETE
mf,910019,320,validation_only,0.3975026227515373,64,True,False,False,False,a5c61ce3321cdf43b2f30f7934908ad280a23cab314667b9a6abb55749b1417d,e98173959655dabfb6cb716135737cf37cd6228b2a5bf63f3da628a75c5004f6,COMPLETE
mf,910019,360,validation_only,0.4041498128739761,64,True,False,False,False,7d6fe511411ca7c40299a90beb4dc6a96e6762e3574ef7acd8855c7578ed6e9f,6d8ca42b0835bb0ba773a5f43b0ef0d9664eeaa684e61c9ff47e866fe216b7e4,COMPLETE
mf,910019,400,validation_only,0.40432291974747336,64,True,False,False,False,a85cb5f6995da80f43bdb19eed18bcbdf8985f59c4f86719ee2a2930f7f3901e,b8d14024dfaa20957d32dcf95ef6c806c95ad2419d889844cb342db8c1a2ed53,COMPLETE
mf,910019,440,validation_only,0.4030540194788036,64,True,False,False,False,e5bc61061a3a69a6abcdaf29f73fe805586f3b0f59b06283e81179ef0c4ddbb0,c52f8c5ef6bc9924c26875b6bcfcad9bf8a815e58da8012e12338d6a872c2bc7,COMPLETE
mf,910019,480,validation_only,0.4089472878181282,64,True,False,False,False,f8f5480692abcc616854e0ac4b5c9a58c0b36cb6638b7bb385edec2378bd341b,7d558a866d5fee52bf3a82f6eb988d66f6b51e7cda020bd9dc30f33df3a54949,COMPLETE
mf,910019,520,validation_only,0.41223858628077326,64,True,False,False,False,1a604c00a0c332eedb32aaab46280d9bd0ea356c63107187525e00b764179958,1bf0d9263370b3bf2b691d85204f2b6fff126be9ce68276af50ef8b081ac6ff5,COMPLETE
mf,910019,560,validation_only,0.41266497933620794,64,True,True,False,False,148158630af52e30c0e8c916df2b9bad650de60e3a9742b83be0151a1d5487e6,b9cc265891cf66e3fd56345079be187330098c7f04db37f2d84f09e981e1b77d,COMPLETE
mf,910019,600,validation_only,0.4104451242484559,64,True,False,False,False,df76634aa14c65339f6dcfb8d4c1970ed36246b15c008483997be055f0fae231,571216fb1e22a34e40141b31c142a3896b99fad1c0ef8a270251c7f8d6f66a45,COMPLETE
mf,910019,640,validation_only,0.4051315286517219,64,True,False,False,False,0f8099cd18a2030c0db15e336d4b107879bae26b09e49471970640ab46ef3fc3,e0dd1053b4442657e6612e09c47aaa73e6c6277dea98b44533151e20fcebb243,COMPLETE
