profile_id,curve_axis,axis_value,bank_fault_mode,seed,logical_error_rate,prediction_disagreement_vs_float,maximum_bank_age_windows,fault_events,adc_bits,lut_address_bits,llr_word_bits,threshold_word_bits,state_bits,update_period_windows,total_dual_bank_storage_bits,replay_window_bits,update_payload_bits,mean_update_payload_bits_per_window,target_hardware_measured,synthesis_measured
axis_lut_address_bits_8,lut_address_bits,8.0,none,307,0.027604166666666666,0.00013020833333333333,1,0,10,8,12,10,12,1,6212,2560,3106,3106.0,False,False
axis_lut_address_bits_8,lut_address_bits,8.0,none,401,0.025130208333333334,0.000390625,1,0,10,8,12,10,12,1,6212,2560,3106,3106.0,False,False
axis_llr_fractional_bits_0,llr_fractional_bits,0.0,none,101,0.026822916666666665,0.001171875,1,0,10,8,4,10,12,1,2116,2560,1058,1058.0,False,False
axis_llr_fractional_bits_0,llr_fractional_bits,0.0,none,211,0.028125,0.0006510416666666666,1,0,10,8,4,10,12,1,2116,2560,1058,1058.0,False,False
axis_llr_fractional_bits_0,llr_fractional_bits,0.0,none,307,0.027083333333333334,0.0006510416666666666,1,0,10,8,4,10,12,1,2116,2560,1058,1058.0,False,False
axis_llr_fractional_bits_0,llr_fractional_bits,0.0,none,401,0.024609375,0.0006510416666666666,1,0,10,8,4,10,12,1,2116,2560,1058,1058.0,False,False
axis_llr_fractional_bits_1,llr_fractional_bits,1.0,none,101,0.027604166666666666,0.00013020833333333333,1,0,10,8,5,10,12,1,2628,2560,1314,1314.0,False,False
axis_llr_fractional_bits_1,llr_fractional_bits,1.0,none,211,0.028645833333333332,0.00013020833333333333,1,0,10,8,5,10,12,1,2628,2560,1314,1314.0,False,False
axis_llr_fractional_bits_1,llr_fractional_bits,1.0,none,307,0.027604166666666666,0.00013020833333333333,1,0,10,8,5,10,12,1,2628,2560,1314,1314.0,False,False
axis_llr_fractional_bits_1,llr_fractional_bits,1.0,none,401,0.025130208333333334,0.000390625,1,0,10,8,5,10,12,1,2628,2560,1314,1314.0,False,False
axis_llr_fractional_bits_2,llr_fractional_bits,2.0,none,101,0.027994791666666668,0.00026041666666666666,1,0,10,8,6,10,12,1,3140,2560,1570,1570.0,False,False
